Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
Genoa Healthcare 00115,1902 Olde Homestead Lane,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,74,118,20,POINT (-76.248784 40.050101)
Laurel Pediatrics of Wellsboro,1-B Main Street,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,16,0,POINT (-77.297968 41.75064)
Whitman Pharmacy,4950 YORK RD,Holicong,Pennsylvania,18928,Bucks,0,0,0,33,86,861,POINT (-75.053823 40.329877)
Newport Family Practice PC,52 Red Hill Court,Newport,Pennsylvania,17074,Perry,0,0,0,75,6,0,POINT (-77.122152 40.484726)
Wellspan Ped Med S George St,2339 South George Street,York,Pennsylvania,17403,York,2,0,4,22,326,42,POINT (-76.7155 39.922498)
Nemours DuPont Ped Concordvil,1020 Baltimore Pike,Glen Mills,Pennsylvania,19342,Delaware,0,0,0,53,1025,342,POINT (-75.538144 39.882943)
UPMC CHP Rnald McDnald Care Mobile,2599 Wexford Bayne Road Childrens North Ronald McDonald Care Mobile,Sewickley,Pennsylvania,15143,Allegheny,0,0,0,0,0,40,
Armstrong County Memorial Hospital,1 NOLTE DR,Kittanning,Pennsylvania,16201,Armstrong,47,10,0,365,1046,1453,POINT (-79.562335 40.812095)
Penn Med Lancaster General FM Leola,146 East Main Street,Leola,Pennsylvania,17540,Lancaster,0,0,0,0,79,6,POINT (-76.169072 40.090931)
Wellspn Fam Med Baltimore St,1227 Baltimore St,Hanover,Pennsylvania,17331,York,0,0,0,15,504,18,POINT (-76.960609 39.776433)
Associates in Ophthalmology Ltd.,9970 Mountain View Dr,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,18,194,0,POINT (-79.940246 40.34165)
St Lukes Anderson Campus,1872 St Luke Blvd Lower Level Pharmacy West Wing,Easton,Pennsylvania,18045,Northampton,0,0,0,255,35,40,
AHN AC IM Murrysville Internal Med,4262 Old William Penn Highway,Murrysville,PA,15668,Westmoreland,0,0,0,0,28,0,POINT (-79.684924 40.42794)
Worthington Primary Care,1482 Bulter Road,Worthington,Pennsylvania,16262,Armstrong,0,0,0,42,53,0,POINT (-79.61737 40.835417)
LVPG Fam-Internl Med Bethlhm Twp,2101 Emrick Blvd,Bethlehem (Part-Lehigh),Pennsylvania,18020,Northampton,0,0,0,0,100,0,POINT (-75.290931 40.651956)
FPC-Enola Family Practice Center,30 E SHADY LN,Enola,Pennsylvania,17025,Cumberland,0,0,0,15,46,0,POINT (-76.930099 40.298252)
Wellspan Gettysburg Hospital,PHARMACY 147 GETTYS STREET,GETTYSBURG,PENNSYLVANIA,17325,Adams,0,35,0,587,15,478,
PPCP-McMurray,3928 Washington Road,Mc Murray,Pennsylvania,15317,Washington,0,0,0,0,421,0,POINT (-80.128098 40.270982)
Lancaster Rehabilitation Hospital,675 Good Drive,Lancaster,Pennsylvania,17604,Lancaster,0,0,0,0,10,0,POINT (-76.35098 40.063067)
HlthSth Harmarville Rehab Hosp,P.O. Box 11460 Guys Run Road,Pittsburgh,Pennsylvania,15238,Allegheny,0,0,0,0,15,0,
Anne Chen MD an Assoc McKees Rcks,6000 Steubenville Pike,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,0,0,0,10,0,POINT (-80.144354 40.445188)
TBM Health Services LLC,225 Wilmington West Chester Pk,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,0,794,3899,POINT (-75.538551 39.851305)
AHN-SVMG Albion Family Practice,155 East State Street,Albion,Pennsylvania,16401,Erie,2,0,0,45,50,132,POINT (-80.36066 41.890918)
Susquehanna Valley Med Spec PC,6850 Lows Road,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,0,972,300,POINT (-76.352056 41.033408)
NEPA Community Health Care-Montrose,498 South Main Street,Montrose,Pennsylvania,18801,Susquehanna,12,0,0,319,1075,80,POINT (-75.879066 41.832631)
FPC-Millersburg Fam Prac Center,100 1st St,Millersburg,Pennsylvania,17061,Dauphin,0,0,0,0,101,0,POINT (-76.962413 40.534461)
Union Community Care-Duke St,625 South Duke St,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,0,210,0,POINT (-76.297378 40.031513)
WellSpan OB/GYN-Stonebridge,13515 WOLFE RD,New Freedom,Pennsylvania,17349,York,0,0,0,0,84,24,POINT (-76.662764 39.774247)
Redners Pharmacy #22,1 Goldstar Plaza,Shenandoah,Pennsylvania,17976,Schuylkill,0,0,0,30,0,0,POINT (-76.201192 40.820315)
Wellspan Fam Med Frederick St,100 Frederick Street,Hanover,Pennsylvania,17331,York,0,0,0,0,0,46,POINT (-76.984982 39.799399)
Keystone Internal Medicine,830 5th Ave. Suite 201,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,0,113,15,POINT (-77.644983 39.945106)
MLHC-Urgent Care in Broomall,1991 Sproul Road,Broomall,PA,19008,Delaware,0,0,0,0,54,0,POINT (-75.356299 39.961234)
Nemours DuPont Pediatrics-Paoli,1676  E Lancaster Avenue,Paoli,Pennsylvania,19301,Chester,0,0,0,20,1989,450,POINT (-75.470449 40.042348)
Qwik Med Pharmacy LLC,369  Locust Street Rear,Columbia,Pennsylvania,17512,Lancaster,0,0,0,0,100,0,POINT (-76.501264 40.032778)
Centennial Pharmacy Services,1020 N Delaware Avenue,Philadelphia,Pennsylvania,19125,Philadelphia,0,0,0,0,200,58,POINT (-75.132334 39.965723)
Reliant Care Solutions,403 S. Oxford Valley Road,Fairless Hills,Pennsylvania,19030,Bucks,0,0,0,60,0,320,POINT (-74.853987 40.173006)
Riccio Family Pharmacy,2217 Bristol Pike,Bensalem,Pennsylvania,19020,Bucks,0,0,0,361,212,0,POINT (-74.950644 40.077534)
Tower Health-Douglassville Internal Med,957 Benjamin Franklin Parkway,Douglassville,Pennsylvania,19518,Berks,0,0,0,5,342,0,POINT (-76.164451 40.358524)
Forti and Consevage PC,3705  Vartan Way,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,0,300,81,POINT (-76.854177 40.321306)
Cornerstone Cre Ped Cntr of Was,400 JEFFERSON AVE,Washington,Pennsylvania,15301,Washington,0,0,0,338,3,160,POINT (-80.25578 40.175301)
SCI-Laurel Highlands,5706 Glades Pike Road,Somerset,Pennsylvania,15501,Somerset,5,0,0,32,57,0,POINT (-79.040912 40.002438)
DCI Renal Srvs of Pbg Five Points,2534 Monreville Boulevard,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,50,5,0,POINT (-79.787761 40.427827)
AHN AC IM Prim Cre Profess,160 Gallery Drive,Canonsburg,Pennsylvania,15317,Washington,0,0,0,42,129,72,POINT (-80.113048 40.289703)
WHS Was Ped and Adolescent Med,100 Wellness Way,Washington,Pennsylvania,15301,Washington,0,0,0,3,0,0,POINT (-80.215812 40.192528)
UPMC-Primary Care Lewisburg,260 Reitz Boulevard,LEWISBURG,PA,178379220,Union,0,0,0,0,29,96,POINT (-76.911123 40.962152)
Tri County Pediatrics HV,821 Huntington Pike,Huntingdon Valley,Pennsylvania,19006,Montgomery,18,0,0,0,2510,545,POINT (-75.093658 40.089773)
AHN-Century III Medical Associates,2027 Lebanon Church Road 2nd Floor,West Mifflin,Pennsylvania,15122,Allegheny,0,0,3,570,30,0,POINT (-79.94943 40.348063)
AHN-Saint Vincent Peninsula Fam Med,2828 Sterrettania Road,Erie,Pennsylvania,16506,Erie,1,0,3,48,323,6,POINT (-80.138975 42.085681)
SCI-Quehanna Boot Camp,4395 Quehanna Highway,Karthaus,PA,16845,Clearfield,0,0,0,0,253,100,POINT (-78.144976 41.184017)
Select Specialty Hospital-Danville,100 N academy ave,Danville,Pennsylvania,17822,Montour,0,0,0,4,10,0,POINT (-76.603393 40.966741)
Metro Community Health Center,1789 South Braddock  Avenue,Pittsburgh,Pennsylvania,15218,Allegheny,0,1,0,554,196,581,POINT (-79.889539 40.426164)
Tru Care Internal Medicine and ID,135 Midway Drive,Du Bois,Pennsylvania,15801,Clearfield,0,0,0,75,227,0,POINT (-78.734636 41.124876)
B R CHEKKA MD PC,1611 Peach Street,Erie,Pennsylvania,16501,Erie,0,0,0,0,100,0,POINT (-80.080262 42.119411)
PPCP-John Yaros MD-Vanadium Rd,363 Vanadium Road,Pittsburgh,Pennsylvania,15243,Allegheny,0,0,0,0,8,0,POINT (-80.085292 40.369186)
Tower Health-Reading Hospital,420 S 5th Avenue,Reading,Pennsylvania,19611,Berks,0,0,0,85,1116,220,POINT (-75.948059 40.329863)
Union Medical-Church St,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,977,63,168,POINT (-76.42776 40.344531)
Wellspan Fam Medic Norman Dr,720 NORMAN DR,Lebanon,Pennsylvania,17042,Lebanon,6,0,23,46,560,150,POINT (-76.417786 40.31356)
AHN Glenwood Primary,213 East 41st Street,Erie,Pennsylvania,16504,Erie,0,0,0,16,0,24,POINT (-80.060317 42.100253)
PSHMG Fishburn Road Fam Med,845 Fishburn Road,Hershey,Pennsylvania,17033,Dauphin,0,0,0,0,4,0,POINT (-76.650893 40.269177)
Meadowbrook Pediatrics,1650 Huntingdon Pike,Meadowbrook,Pennsylvania,19046,Montgomery,0,0,0,13,865,0,POINT (-75.079676 40.109423)
AHN-AC IM Wexford Medical Practice,Two Landmark North 20397 Route 19,Cranberry Twp,Pennsylvania,16066,Butler,0,0,0,0,520,0,
PAK PEDS Clark Summit,890 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,0,22,0,POINT (-75.640826 41.453667)
VDI-Vine Pharmacy,4375 Red Rock Road,Benton,PA,17814,Columbia,0,0,0,0,2401,396,POINT (-76.379804 41.202857)
PHN Schuylkill Comm Hlth Ctr,210 Sunbury Street,Minersville,Pennsylvania,17954,Schuylkill,0,0,0,21,253,0,POINT (-76.261033 40.691062)
WHS-Fam Med California,300 Technology Drive,Coal Center,Pennsylvania,15423,Washington,0,0,0,4,22,30,POINT (-79.912331 40.056341)
The Hometown Pharmacy-New Castle,20 E Lawrence St,New Castle,Pennsylvania,16101,Lawrence,0,0,0,0,190,533,
CHOP Care Network-Newtown,104 Pheasant Run,Newtown,Pennsylvania,18940,Bucks,0,0,0,0,505,0,POINT (-74.914708 40.225567)
AHN-Allegheny General Hospital,320 East North Avenue,Pittsburgh,Pennsylvania,15212,Allegheny,0,0,0,789,3448,100,POINT (-80.003138 40.456172)
AHOLD USA-GIANT PHARMACY-6485,789 East Main Street,Mount Joy,PA,17552,Lancaster,0,0,0,25,541,0,POINT (-76.484796 40.109335)
Christine Meyer MD and Associates,750 W. Lincoln Highway,Exton,Pennsylvania,19341,Chester,0,0,0,0,1385,0,POINT (-75.664397 40.021435)
Warren County SHC,2027 PENNSYLVANIA AVE E,Warren,Pennsylvania,16365,Warren,0,0,0,0,0,273,POINT (-79.119907 41.826749)
Wellspan Pharm Adams Hlth Ctr,40 V-Twin Drive,Gettysburg,Pennsylvania,17325,Adams,0,0,0,0,124,24,POINT (-77.18277 39.84572)
PSHMG Elizabethtown,1 Continental Drive,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,0,15,0,POINT (-76.595088 40.152258)
Lhgh Vlly Hlth Net Ped Hzltn Sp Ctr,564 West Broad Street,Hazleton,Pennsylvania,18201,Luzerne,0,0,0,0,739,83,POINT (-75.986295 40.957085)
Edward P Spiegel MD,370 Middletown Blvd,Langhorne,Pennsylvania,19047,Bucks,0,0,0,0,0,1470,POINT (-74.885061 40.185079)
Caring Hands Pediatrics-North Hills,105 Braunlich Drive,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,7,0,0,POINT (-80.004033 40.520829)
Bensalem Pharmacy,2112 Street Road,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,276,5,POINT (-74.947855 40.099526)
Alixa Rx,1041 Washington Pike,Bridgeville,Pennsylvania,15017,Allegheny,0,0,0,15,0,0,POINT (-80.104863 40.367319)
SCI-Dallas,1000 Follies Road,Dallas,Pennsylvania,18612,Luzerne,0,0,0,12,353,0,POINT (-76.014907 41.282408)
Coatesville Community Pharmacy Inc,260 E Lincoln HWY,Coatesville,Pennsylvania,19320,Chester,0,0,0,0,280,0,POINT (-75.82065 39.983586)
Penns Valley Pharmacy,4576 Penns Valley Road,Spring Mills,Pennsylvania,16875,Centre,0,0,0,40,329,0,POINT (-77.526197 40.877546)
Wellspan Fam Med Hlth Campus 1st Fl,12 St. Paul Drive,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,13,583,0,POINT (-77.634763 39.943292)
FPC Mifflinburg Fam Prac Cntr,137 Forest Hill Rd,Mifflinburg,Pennsylvania,17844,Union,0,0,0,0,24,30,POINT (-77.039374 40.925109)
Geisinger St. Lukes Hospital,100 Paramount Blvd,Orwigsburg,Pennsylvania,17961,Schuylkill,5,1,0,227,30,78,POINT (-76.09171 40.640986)
DVCH Norristwn Regi Hlth Cntr,1401 DeKalb St,Norristown,Pennsylvania,19401,Montgomery,0,0,0,52,172,0,POINT (-75.333335 40.123435)
Washington County SHC,167 North Main Street,Washington,Pennsylvania,15301,Washington,0,0,0,4,0,106,POINT (-80.246122 40.173495)
The Wright Cntr Child Srvice Cntr,335 South Franklin Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,38,0,POINT (-75.892822 41.241484)
UPMC Susquehanna Hlth Fam Medic,UPMC-SH Lock Haven Family Med 610 High Street,Lock Haven,Pennsylvania,17745,Clinton,0,0,0,19,812,356,
Brockie Pharmatech,209 N. Beaver St.,York,Pennsylvania,17401,York,0,0,0,666,670,247,POINT (-76.731104 39.964672)
SLPG-MacArthur Rd PC,2363 MacArthur Road 2nd Floor,Whitehall,Pennsylvania,18052,Lehigh,0,0,0,0,294,0,POINT (-75.490257 40.641517)
Smart Choice Pharmacy,1941 Street rd,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,1006,0,POINT (-74.945732 40.096986)
WORKNET Occutl Med Lancaster,241 Rohrerstown Road,Lancaster,Pennsylvania,17603,Lancaster,0,0,0,108,0,97,POINT (-76.363113 40.045766)
WMCHC-HAMLIN FAMILY HEALTH CENTER,543 Easton Turnpike,Lake Ariel,Pennsylvania,18436,Wayne,0,0,0,199,115,190,POINT (-75.398003 41.400846)
Warrington Rx Pharmacy,1335 Easton rd,Warrington,Pennsylvania,18976,Bucks,0,0,0,457,18,214,POINT (-75.133533 40.249812)
PHN Lewistown Comm Hlth Ctr,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,8,249,154,POINT (-77.577034 40.643141)
Bucks County HD Doylestown Clinic,2395 York Road BCDH Warwick Square Clinic,Jamison,Pennsylvania,18929,Bucks,0,0,0,788,1209,3798,POINT (-75.1215 40.260473)
WMCHC Carbondale Fam Hlth Cntr,141 Salem Avenue,Carbondale,Pennsylvania,18407,Lackawanna,0,0,0,10,202,230,POINT (-75.496897 41.571066)
ECHS-Meadowbrook Family Medicine,337 West Main Street,Leola,Pennsylvania,17540,Lancaster,0,0,0,4,119,0,POINT (-76.215184 40.085081)
Tower Health-Bernville Fam Med,7173 Bernville Road,Bernville,Pennsylvania,19506,Berks,5,0,4,112,293,0,POINT (-76.128015 40.445165)
AHN Fam Hlthcre Partners Mercer,400 West Butler Street,Mercer,Pennsylvania,16137,Mercer,0,0,0,42,212,0,POINT (-80.244337 41.225311)
Adagio Health-Uniontown,205 Easy Street,Uniontown,Pennsylvania,15401,Fayette,0,0,0,1436,60,1679,POINT (-79.741696 39.901563)
Wellspan Ped Med Red Lion,3059 Windsor Road,Red Lion,Pennsylvania,17356,York,0,0,1,4,288,24,POINT (-76.580377 39.902672)
Village Pharmacy at Springhouse,1121 N. Bethlehem Pike,Spring House,Pennsylvania,19477,Montgomery,0,0,0,206,1519,1128,POINT (-75.225448 40.189257)
PH-Punxsy-PEDS,551 West Mahoning Street,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,6,4,170,POINT (-78.981145 40.942326)
Lackawanna Medical Group,201 Smallacombe Drive,Scranton,Pennsylvania,18508,Lackawanna,0,0,0,20,111,0,POINT (-75.67478 41.448809)
Shickshinny Health Center,26 North Main Street,Shickshinny,Pennsylvania,18655,Luzerne,0,0,0,0,15,0,POINT (-76.149565 41.153975)
LGH-County Line Family Medicine,5360 Lincoln Highway,Gap,Pennsylvania,17527,Lancaster,0,0,1,8,143,0,POINT (-76.017882 39.991649)
Pediatric Care Specialists-Somerset,1322 Eisenhower Blvd,Johnstown,Pennsylvania,15904,Cambria,0,0,0,0,245,0,POINT (-78.852653 40.270891)
UPMC CCP Bellev Ped Assoc Richlnd,6080 William Flinn Highway RT 8,Gibsonia,Pennsylvania,15044,Allegheny,0,0,0,0,800,18,
PSH Cmty Vax Site-Cumberland,890 Poplar Church Road,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,1426,1300,POINT (-76.9237 40.255046)
Bethlehem Pharmacy Rx Inc,817 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,0,0,0,12,1639,1350,POINT (-75.36709 40.610748)
St Lukes Upper Bucks Campus,3000 St Lukes Dr,Quakertown,Pennsylvania,18951,Bucks,0,0,0,0,111,0,
SCI-Mercer,801 Butler Pike,Mercer,Pennsylvania,16137,Mercer,0,0,0,395,48,0,POINT (-80.220125 41.206971)
State College Family Medicine,2188 Sandy Dr,State College,Pennsylvania,16803,Centre,0,0,0,79,73,204,POINT (-77.901298 40.782336)
BURRELL HEALTH MART PHARMACY,2889 LEECHBURG RD,New Kensington,Pennsylvania,15068,Westmoreland,0,0,0,26,217,448,POINT (-79.72484 40.589512)
Berks Comm Hlth Cntr Rocklnd St,1110 Rockland St,Reading,Pennsylvania,19611,Berks,0,0,0,0,10,0,POINT (-75.914222 40.365214)
Eden Park Pediatrics-Mount Joy,779 East Main Street,Mount Joy,Pennsylvania,17552,Lancaster,0,0,0,0,35,0,POINT (-76.485806 40.109251)
Genoa Healthcare 20118 (parent),1350 West 26th Street,Erie,Pennsylvania,16508,Erie,0,0,0,116,25,288,POINT (-80.103018 42.101065)
Delaware County Health Dept CMHD,125 Chester Ave,Yeadon,Pennsylvania,19050,Delaware,0,0,0,10,249,0,POINT (-75.25473 39.923533)
Vainshtein Nursing Corp,209 Eddie Lewis Drive,Wexford,Pennsylvania,15090,Allegheny,0,0,0,211,0,958,POINT (-80.048091 40.633436)
PHN Lewistown Comm Hlth Ctr,106 Derry Heights Blvd,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,8,249,154,
Noxen Medical Center,2888 SR 29 S # 2,Noxen,Pennsylvania,18636,Wyoming,0,0,0,0,223,0,
Adagio Health-Erie,3530 Peach Street,Erie,Pennsylvania,16508,Erie,0,0,0,108,798,1355,POINT (-80.080305 42.099793)
Bucks County HD Doylestown Clinic,1282 Almshouse Rd 1st Floor,Doylestown,Pennsylvania,18901,Bucks,0,0,0,788,1209,3798,POINT (-75.132788 40.271551)
PENN MEDICINE BALA CYNWYD,333 East City Ave 2 Bala Plaza,Bala Cynwyd,Pennsylvania,190041501,Montgomery,0,0,0,0,93,0,
Select Spec Hosp Central PA,503 N 21st street 5th floor,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,64,0,POINT (-76.923876 40.252521)
Greentree Medical Associates,651 Holiday Drive Foster Plaza Bldg #5,Pittsburgh,Pennsylvania,15220,Allegheny,0,0,0,0,274,0,
Newhard Pharmacy,1001 Main Street,Northampton,Pennsylvania,18067,Northampton,0,0,0,0,613,0,POINT (-75.488899 40.679146)
AHN Ped Ped Ally Chartiers McMurray,3001 Waterdam Plaza Drive,Mc Murray,Pennsylvania,15317,Washington,0,0,0,4,1645,20,POINT (-80.135651 40.264143)
GIANT PHARMACY-6269,3301 TRINDLE ROAD,CAMP HILL,PA,17011,Cumberland,0,0,0,140,1099,314,POINT (-76.935436 40.238145)
True North Pediatrics-Willow Grove,2510 Maryland Rd,Willow Grove,Pennsylvania,19090,Montgomery,0,0,0,8,140,0,POINT (-75.129465 40.161772)
Walmart Store #3564,2101 BLAIR MILL RD,WILLOW GROVE,Pennsylvania,19090,Montgomery,0,0,0,0,358,0,POINT (-75.140357 40.159595)
Union Medical-Kinzer Ave,435 South Kinzer Ave,New Holland,Pennsylvania,17557,Lancaster,0,0,0,0,153,0,POINT (-76.073006 40.097895)
Saltsburg Pharmacy,237 WASHINGTON ST,Saltsburg,Pennsylvania,15681,Indiana,0,0,0,88,0,0,POINT (-79.451388 40.486376)
Pharmerica Leesport,1011 Berks Road 2nd floor pharmacy,Leesport,Pennsylvania,19533,Berks,0,0,0,63,26,0,POINT (-75.806582 40.253526)
SLPG-Coopersburg Pediatrics,5445 Lanark Road,Center Valley,Pennsylvania,18034,Lehigh,0,0,0,0,286,200,POINT (-75.407747 40.533146)
Buckingham Pediatrics,4870 York Rd PO Box 665,Buckingham,Pennsylvania,18912,Bucks,0,0,0,15,20,20,POINT (-75.056206 40.327642)
Erics RX Shoppe,810 Welsh Rd,Horsham,Pennsylvania,19044,Montgomery,0,0,0,62,820,56,POINT (-75.179165 40.178356)
Hyndman Area Hth CtrJohnstwn,203 College Park Plaza,Johnstown,Pennsylvania,15904,Cambria,0,0,0,54,1576,777,POINT (-78.8488 40.276966)
Union City Family Practice,130 N Main Street,Union City,Pennsylvania,16438,Erie,0,0,0,0,5,0,POINT (-79.845037 41.906247)
MLHC-Urgent Care at Concordville,1020 Baltimore Pike,Glen Mills,PA,19342,Delaware,0,0,0,0,429,0,POINT (-75.538144 39.882943)
UPMC CCP Belle Ped Assoc Bellevue,446 Lincoln Avenue,Pittsburgh,Pennsylvania,15202,Allegheny,0,0,0,0,795,100,POINT (-80.054182 40.494911)
Hillcrest Pharm Compounding of Lanc,3985 Columbia Ave Unit 2,Columbia,Pennsylvania,17512,Lancaster,0,0,0,1444,143,536,POINT (-76.453249 40.036792)
Childrens HealthCare,1517 Pond Road,Allentown,Pennsylvania,18104,Lehigh,0,0,0,124,4816,72,POINT (-75.53877 40.61135)
UPMC-Urgent Care at Hermitage,449 NORTH HERMITAGE ROAD,Hermitage,Pennsylvania,161483342,Mercer,0,0,0,0,100,0,POINT (-80.449872 41.239479)
Public Drug,6925 Ludlow Street,Upper Darby,Pennsylvania,19082,Delaware,0,0,0,186,546,94,POINT (-75.260184 39.961256)
DH Broderman Internal Medicine,2325 Heritage Center Drive,Furlong,Pennsylvania,18925,Bucks,0,0,0,0,1305,0,POINT (-75.084182 40.290632)
Cornerstone Care Ped Ctr-Waynesburg,236 Elm Drive,Waynesburg,Pennsylvania,15370,Greene,0,0,0,128,265,120,POINT (-80.148343 39.89702)
Stroud Compounding and Wellness,1619 N. 9th Street,Stroudsburg,Pennsylvania,18360,Monroe,0,0,0,0,9,0,POINT (-75.253496 40.996165)
Spartan Pharmacy Bethel Park,3400 South Park Rd Unit 1,Bethel Park,Pennsylvania,15102,Allegheny,0,0,0,0,1426,1638,POINT (-80.057122 40.321886)
Elizabeth A Gernhardt DO Fam Prac,1732 Wyoming Avenue,Forty Fort,Pennsylvania,18704,Luzerne,0,0,0,24,1477,400,POINT (-75.863583 41.296718)
Select Specialty Hosp Alle Kiski,1301 Carlisle St.,Natrona Heights,Pennsylvania,15065,Allegheny,0,0,0,90,10,0,POINT (-79.736016 40.617813)
VDI-DePietros Pharmacy,617 3rd Street,Dunmore,Pennsylvania,18512,Lackawanna,0,0,0,0,1205,226,POINT (-75.634095 41.415683)
Carlisle Pediatric Associates,804 Belvedere Street,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,0,1348,806,POINT (-77.204524 40.188582)
GIANT PHARMACY-6045,849 WEST BALTIMORE PIKE,WEST GROVE,PA,19390,Chester,0,0,0,81,3182,1021,POINT (-75.875122 39.824105)
UPMC Susquehanna Hlth Fam Medic,610 High Street 610 High Street,Lock Haven,Pennsylvania,17745,Clinton,0,0,0,19,812,356,POINT (-77.465805 41.129588)
VDI-Wileys Pharmacy Of Millersville,507 LEAMAN AVENUE,Millersville,PA,17551,Lancaster,0,0,0,84,0,71,POINT (-76.35354 40.012447)
Gettysburg Family Practice,524 S Washington Street,Gettysburg,PA,17325,Adams,0,0,0,295,1021,70,POINT (-77.233227 39.824074)
WHS-Family Medicine Eighty Four,845 Route 519 P.O. Box 173,Eighty Four,Pennsylvania,15330,Washington,0,0,0,0,43,0,POINT (-80.133188 40.180524)
AHOLD USA-GIANT PHARMACY-6504,300 Lincoln Avenue,East Stroudsburg,PA,18301,Monroe,0,6,0,8,2855,421,POINT (-75.183418 40.992021)
WellSpan Family Medicine-Mont Alto,6155 Anthony Highway,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,0,59,0,POINT (-77.567423 39.838297)
VDI-Sloans Norlanco Pharmacy,428 Cloverleaf Road,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,7,15,0,POINT (-76.563377 40.133799)
The Medicine Shoppe-Boyertown,2 E. Philadelphia Avenue,Boyertown,Pennsylvania,19512,Berks,0,0,0,888,3706,13460,POINT (-75.637151 40.333497)
MARTINS PHARMACY-6288,221 GLIMCHER DRIVE,DUNCANSVILLE,PA,16635,Blair,0,0,0,75,3174,973,POINT (-78.410863 40.432065)
HA Pharmacy,1200 Welsh Road,North Wales,Pennsylvania,194543771,Montgomery,0,0,0,0,0,25,POINT (-75.258285 40.226459)
LVRX Pharmacy,211 South Market Street,Ligonier,Pennsylvania,15658,Westmoreland,0,0,0,0,1911,459,POINT (-79.239255 40.241761)
GIANT PHARMACY-6271,14635 MT AIRY ROAD,SHREWSBURY,PA,17361,York,0,0,0,0,1986,77,POINT (-76.670992 39.773322)
MLHC-Urgent Care at Exton Square,154 Exton Square Parkway Exton Square Mall,Exton,PA,19341,Chester,0,0,0,0,517,79,
Keystone Pediatrics-Waynesboro,45 Roadside Avenue,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,101,1515,0,POINT (-77.567424 39.752273)
East Suburban Pediatrics-Norwin,40 Lincoln Way,North Huntingdon,Pennsylvania,15642,Westmoreland,0,0,0,58,1574,66,POINT (-79.741452 40.330688)
Canadohta Lake Health Center,35255 Brown Hill Road,Union City,Pennsylvania,16438,Erie,0,0,0,0,613,103,POINT (-79.849136 41.792247)
GIANT PHARMACY-6018,760 ROUTE 113,SOUDERTON,PA,18964,Montgomery,0,0,0,103,2543,200,POINT (-75.306284 40.319285)
Wellspan Fam Med Shippensburg,46 Walnut Bottom Road Suite 200,Shippensburg,Pennsylvania,17257,Cumberland,0,0,0,9,929,102,POINT (-77.501605 40.058845)
Advocare Broomall Peds-West Chester,1246 West Chester Pike,West Chester,Pennsylvania,19382,Chester,0,0,0,495,175,186,POINT (-75.557246 39.968171)
UPMC CCP S Hills Ped Assoc Jffersn,1925 Route 51 South,Clairton,Pennsylvania,15025,Allegheny,0,204,0,280,2045,12,POINT (-79.913123 40.290443)
Centerville Clinics-Fredericktown,1070 Old National Pike Rd,Fredericktown,Pennsylvania,15333,Washington,11,0,0,405,1068,127,POINT (-79.985626 40.047336)
Pennridge Ped Assoc-Harleysville,270 MAIN ST,Harleysville,Pennsylvania,19438,Montgomery,16,0,4,41,2979,1056,POINT (-75.377123 40.267859)
PHN-Sheakleyville Health Center,3339 Perry Highway,Sheakleyville,Pennsylvania,16151,Mercer,0,0,0,7,212,10,POINT (-80.205535 41.450213)
UPMC-East,2775 Mosside Blvd.,Monroeville,Pennsylvania,15146,Allegheny,0,0,0,8,2343,160,POINT (-79.75864 40.437122)
UPMC Shadyside FHC Faculty,5215 Centre Avenue second floor,Pittsburgh,Pennsylvania,15232,Allegheny,0,0,0,141,2221,417,POINT (-79.940982 40.455196)
