,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Total Wastage,Georeferenced Latitude & Longitude
712,Wellness Pharmacy Services,1427 Horsham Road,North Wales,Pennsylvania,19454,Montgomery,10,0,0,0,4,0,14,-75.20773 40.225139
713,LGHP Quentin Family Medicine,Family Medicine Quentin 1701 Cornwall Road,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,11,105,0,116,
714,LVPG Family Medicine-Mountain Top,237 South Mountain Blvd,Mountain Top,Pennsylvania,18707,Luzerne,0,0,0,3,40,0,43,-75.899122 41.145358
715,Adzema Pharmacy,8105 Perry Highway,Pittsburgh,Pennsylvania,15237,Allegheny,0,0,0,11,1003,0,1014,-80.03868 40.554758
716,Wellspan Pharm Adams Hlth Ctr,40 V-Twin Drive,Gettysburg,Pennsylvania,17325,Adams,0,0,0,0,104,0,104,-77.18277 39.84572
717,Cranberry Internal Medicine Mars,6998 Crider Rd,Mars,Pennsylvania,16046,Butler,0,0,0,0,4,0,4,-80.041367 40.697348
718,GMA-Heyl Family Practice,1020 Center Avenue,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,12,60,0,72,-80.038197 40.520409
719,Kennett Dental,402 McFarlan Road,Kennett Square,Pennsylvania,19348,Chester,0,0,0,0,56,0,56,-75.693554 39.855228
720,AHOLD USA-GIANT PHARMACY 6014,1278 S MARKET STREET,ELIZABETHTOWN,PA,17022,Lancaster,0,0,0,79,400,90,569,-76.590093 40.140095
721,Susquehanna County SHC,157 Spruce Street,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,11,4,0,15,-75.878225 41.83569
722,Klingensmiths Drug Stores Inc,313 FORD ST,Ford City,Pennsylvania,16226,Armstrong,0,0,0,348,26,195,569,-79.532271 40.771071
723,Keystone Agric Wkr Prgm Getty,3375 Carlisle Road,Gardners,Pennsylvania,17324,Adams,0,0,0,33,115,0,148,-77.203169 40.010113
724,Pediatric Healthcare Associates,615 6th Avenue,Altoona,Pennsylvania,16602,Blair,0,0,0,0,14,0,14,-78.391463 40.517603
725,AFC Urgent Care Narberth,934 Montgomery Ave,Narberth,Pennsylvania,19072,Montgomery,0,0,0,0,185,0,185,-75.261558 40.011849
726,Revolutionary Home Health Inc.,829 Scranton Carbondale Highway,Eynon,Pennsylvania,18403,Lackawanna,0,0,0,0,320,0,320,-75.577863 41.50841
727,Lepri Rne Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,633,0,633,-75.681293 41.384806
728,Activate Hth Wellns Ctr UTZ Clinc,240 Kindig Lane Plant #5,Hanover,Pennsylvania,17331,York,0,0,0,3,26,0,29,-77.007009 39.811442
729,Guthrie Clinic Troy,285 Guthrie Drive,Troy,Pennsylvania,16947,Bradford,0,0,0,23,329,0,352,-76.794049 41.793108
730,Messiah University,One University Avenue ENGLE CENTER,Mechanicsburg,Pennsylvania,17055,Cumberland,0,0,0,0,10,0,10,
731,Reinhardt Family Practice PC,1701 12th Ave Bldg G,Altoona,Pennsylvania,16601,Blair,0,0,0,42,32,0,74,-78.407288 40.51322
732,Value Specialty Pharmacy,1333 Plank Road,Duncansville,Pennsylvania,16635,Blair,0,0,0,95,30,0,125,-78.598168 40.47812
733,VDI-Port Allegany Phamacy,54-56 North Main street,Port Allegany,Pennsylvania,16743,McKean,0,0,0,39,293,0,332,-78.283786 41.815498
734,Dushore Pharmacy,218 S. German St. PO BOX 314,Dushore,Pennsylvania,18614,Sullivan,0,0,0,135,92,114,341,-76.401747 41.522866
735,Apple Occup Med Srvs Worksite Med,510 Jamison Ave,Ellwood City,Pennsylvania,16117,Lawrence,0,0,0,0,1102,949,2051,-80.25932 40.860097
736,VaxCare-St Josephs Intnal Med,300 S Hickory St,Mount Carmel,Pennsylvania,17851,Northumberland,0,0,0,0,14,0,14,-76.410787 40.79377
737,UPMC-Cole Pediatrics,1001 East 2nd Street,Coudersport,Pennsylvania,16915,Potter,0,0,0,0,43,0,43,-77.979741 41.770667
738,Excela Health Frick Hospital,508 South Church Street,Mount Pleasant,Pennsylvania,15666,Westmoreland,0,0,0,24,35,0,59,-79.548217 40.146369
739,PHN-Petroleum Valley Medical Center,296 Church Street,Petrolia,Pennsylvania,16050,Butler,0,0,0,5,85,0,90,-79.717555 41.021174
740,Corry Mem Hosp Rural Hlth Clinic,965 Shamrock Lane Rural Health Clinic,Corry,Pennsylvania,16407,Erie,0,0,0,7,95,0,102,-79.612374 41.935111
741,Horsham Pharmacy LLC,316 Horsham Road Suite E,Horsham,Pennsylvania,19044,Montgomery,18,0,0,805,26,3,852,-75.135536 40.181864
742,Village Family Medicine,93 West Devon Drive,Exton,Pennsylvania,19341,Chester,0,0,0,0,14,0,14,-75.666033 40.045025
743,Lehigh County State Health Center,3730 Lehigh Street,Whitehall,Pennsylvania,18052,Lehigh,0,0,0,10,0,49,59,-75.497983 40.65489
744,Union Medical-Church St,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,35,41,0,76,-76.42776 40.344531
745,Allergy and Asthma Specialists PC,470 Sentry Parkway East,Blue Bell,Pennsylvania,19422,Montgomery,0,0,0,101,23,308,432,-75.274591 40.132635
746,Sheffield Pharmacy,27 S. Main St.,Sheffield,Pennsylvania,16347,Warren,0,0,0,50,55,39,144,-79.035146 41.703505
747,Robert T Henry Pharmacy,54 East King St,Shippensburg,Pennsylvania,17257,Cumberland,0,0,0,10,0,824,834,-77.519141 40.051126
748,Family First Hlth Hannah Penn Ctr,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,8,0,0,0,0,8,-76.715296 39.957204
749,Adagio Health-Indiana,1097 Oak Street,Indiana,Pennsylvania,15701,Indiana,0,0,0,97,458,322,877,-79.159986 40.625771
750,Artisan Smiles,1 E 9th Street 2nd Floor,Chester,Pennsylvania,19013,Delaware,0,0,0,0,6,0,6,-75.362953 39.851749
751,The Medicine Shoppe-Clarion,100 Liberty St,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,59,0,59,-79.392015 41.218667
752,Titusville Area Hospital,406 W. Oak St.,Titusville,Pennsylvania,16354,Crawford,0,0,0,18,0,15,33,-79.67972 41.6332
753,Madeleine C Weiser MD PC,233 E LANCASTER AVE,Ardmore (Part-Montgomery,Pennsylvania,19003,Delaware,0,0,0,197,0,774,971,-75.283507 40.004155
754,AHN St Vincent Family Med Center,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,22,100,0,122,-80.0814 42.111191
755,Newport Family Practice PC,52 Red Hill Court,Newport,Pennsylvania,17074,Perry,0,0,0,38,6,0,44,-77.121558 40.485409
756,Pedia of Northeastern PA,920 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,43,300,0,343,-75.646449 41.454855
757,AHN Peds Ped Alli Jefferson Hills,1200 Brooks Lane,Jefferson Hills,Pennsylvania,15025,Allegheny,0,0,0,0,11,0,11,-79.938736 40.315477
758,SCI-Somerset,1590 WALTERS MILL ROAD,Somerset,Pennsylvania,15510,Somerset,0,0,0,0,105,145,250,-79.036074 39.961922
759,Wellspan Pediatrics-Queen St,2050 South Queen Street,York,Pennsylvania,17403,York,0,0,0,0,10,0,10,-76.694325 39.938906
760,Lion Pharm,10 West Broadway,Red Lion,Pennsylvania,17356,York,0,0,0,65,96,0,161,-76.606147 39.900817
761,The Prcter n Gmble Papr Prod Comp,5188 Rt 87,Mehoopany,Pennsylvania,18629,Wyoming,0,0,0,68,29,25,122,
762,CKHN CROZER KEYSTONE CTR FAM HLTH,1260 E  WOODLAND AVE,Springfield,Pennsylvania,19064,Delaware,0,0,0,12,11,18,41,-75.331244 39.911732
763,VDI-Moshannon Vlly Phar Philpsbrg,208 Medical Center Drive,Philipsburg,Pennsylvania,16866,Centre,0,0,0,263,0,0,263,-78.206865 40.90701
764,Butler Memorial Hospital,ONE HOSPITAL WAY,Butler,Pennsylvania,16001,Butler,0,0,0,0,0,1388,1388,
765,UPMC Pinnacle West Shore,1995 TECHNOLOGY PARKWAY,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,0,4,0,4,-76.976697 40.284282
766,Martin Drugs Incorporated,627 S. Chester Road,Swarthmore,Pennsylvania,19081,Delaware,0,0,0,2,11,0,13,-75.353599 39.890698
767,Broad Top Area Medical Center,4133 Medical Center Drive P.O. Box 127,Broad Top,Pennsylvania,16621,Huntingdon,0,0,0,54,18,0,72,-78.133982 40.201015
768,VDI-DePietros Pharmacy,617 3rd Street,Dunmore,Pennsylvania,18512,Lackawanna,0,0,0,0,886,226,1112,-75.634095 41.415683
769,Broad Top Area Med Cntr Mnt Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,2,40,0,42,-77.880361 40.381921
770,LVPG Family Medicine-Blakeslee,5683 Route 115,Blakeslee,Pennsylvania,18610,Monroe,0,0,0,0,6,0,6,-75.59388 41.093847
771,Luzerne Cty Depart of Corrections,99 Water Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,103,23,126,-75.876306 41.254408
772,The Wright Cntr for Comm Hlth,103 Spruce Street,Hawley (Part-Wayne,Pennsylvania,18428,Pike,0,0,0,0,8,0,8,-75.182275 41.481991
773,Saltsburg Pharmacy,237 WASHINGTON ST,Saltsburg,Pennsylvania,15681,Indiana,0,0,0,57,0,0,57,-79.451388 40.486376
774,GIANT PHARMACY-6061,397 BALTIMORE RD,Shippensburg,Pennsylvania,17257,Cumberland,0,0,0,55,662,0,717,-77.502792 40.047125
775,Keystone Pediatrics-Waynesboro,45 Roadside Avenue,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,5,248,0,253,-77.567524 39.752268
776,ALMA ILLERY MEDICAL CENTER,7227 HAMILTON AVE,Pittsburgh,Pennsylvania,15208,Allegheny,0,0,0,96,187,0,283,-79.896792 40.454465
777,WELLSPAN EPHRATA COMMUNITY HOSPITAL,PHARMACY DEPARTMENT 169 MARTIN AVENUE,EPHRATA,PENNSYLVANIA,17522,Lancaster,35,1,0,276,116,0,428,
778,AHN Primary Care Butler,103 Technology Dr,Butler,Pennsylvania,16001,Butler,0,0,0,0,2,0,2,-79.968547 40.865115
779,UPMC-Somerset,225 South Center Ave,Somerset,Pennsylvania,15501,Somerset,0,0,0,8,84,85,177,-79.078598 40.007081
780,Mercy Catholic Medical Center,1500 Lansdowne Ave.,Darby,Pennsylvania,19023,Delaware,0,0,0,128,245,0,373,-75.267031 39.924718
781,WellSpan Internal Med Waynesboro,601 East Main Street Waynesboro Medical Office Building,Waynesboro,Pennsylvania,17268,Franklin,0,0,0,98,54,90,242,-77.56815 39.75089
782,WellSpan Family Medicine-Stony Brook,4222 Lincoln Hwy,York,PA,17406,York,0,0,0,2,3,0,5,-76.630695 39.996212
783,Chambersburg Hosp Wellspan Summit,112 N. 7th Street,Chambersburg,Pennsylvania,17201,Franklin,0,0,0,6,101,0,107,-77.647451 39.934915
784,Crnerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,74,0,74,-80.060817 39.734055
785,AHN-AC IM JRMC Internal Med,810 CLAIRTON BOULEVARD,Pittsburgh,Pennsylvania,15236,Allegheny,0,0,0,0,1,0,1,-79.944002 40.325213
786,Grove City Medical Center,631 NORTH BROAD STREET EXT.,Grove City,Pennsylvania,16127,Mercer,0,0,0,86,49,304,439,-80.083156 41.170709
787,Peter E McNeil MD,240 S. hickory Street,Mount Carmel,Pennsylvania,17851,Northumberland,0,0,0,0,0,10,10,-76.410907 40.794177
788,St Clair Hospital,St. Clair Hospital 1000 Bower Hill Rd,Pittsburgh,Pennsylvania,15243,Allegheny,2,0,0,22,322,0,346,
789,Hampton Pharmacy and Wellness,4678 William Flynn Highway,Allison Park,Pennsylvania,15101,Allegheny,0,0,0,0,1018,0,1018,-79.947986 40.59239
790,LGH-Susquehanna Family Medicine,1159 River Rd,Marietta,Pennsylvania,175471628,Lancaster,0,0,0,31,260,0,291,-76.542312 40.062695
791,East Suburban Pedi Murrysville,4262 Old William Penn Highway,Murrysville,Pennsylvania,15668,Westmoreland,0,0,0,10,82,4,96,-79.684914 40.42794
792,SCI-Cambridge Springs,451 Fullerton Avenue,Cambridge Springs,Pennsylvania,16403,Crawford,1,0,0,0,49,0,50,-80.056344 41.79885
793,Eagleville Hospital,100 EAGLEVILLE ROAD PO BOX 45,Eagleville,Pennsylvania,19408,Montgomery,0,0,0,48,216,0,264,-75.41192 40.15588
794,VDI-Gaughns Drug Store,348 Pennsylvania Ave W,Warren,Pennsylvania,16365,Warren,0,0,0,23,315,0,338,-79.149306 41.844947
795,VDI-Vine Pharmacy,4375 Red Rock Road,Benton,PA,17814,Columbia,0,0,0,0,224,0,224,-76.37973 41.203127
796,Wellspan Ped Med Red Lion,3059 Windsor Road,Red Lion,Pennsylvania,17356,York,0,0,1,2,123,0,126,-76.580382 39.902679
797,AHOLD USA-GIANT PHARMACY-6485,789 East Main Street,Mount Joy,PA,17552,Lancaster,0,0,0,8,9,0,17,-76.484795 40.109335
798,Darlings Oil City Pharmacy,811 Grandview Rd Ste 200,Oil City,Pennsylvania,16301,Venango,0,0,0,0,138,0,138,-79.688285 41.441355
799,Johnsons  Pharmaceut Srvs W Mifflin,2000 CLAIRTON RD,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,2,0,0,2,-79.936288 40.335236
800,Reynolds Pharmacy,3676 N HERMITAGE RD,Transfer,Pennsylvania,16154,Mercer,0,0,0,619,448,230,1297,-80.413328 41.331152
801,SCI-Albion,10745 Route 18,Albion,Pennsylvania,16475,Erie,1,0,0,0,84,10,95,-80.368242 41.878157
802,PHN-Shenandoah Health Center,624 West Centre Street,Shenandoah,Pennsylvania,17976,Schuylkill,0,0,0,15,104,0,119,-76.208553 40.819365
803,Erie County Prison,1618 Ash Street,Erie,Pennsylvania,16503,Erie,0,0,0,15,22,232,269,-80.065336 42.124186
804,Tyler Memorial Hospital,5950 US-6,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,0,45,0,45,
805,Tower Health-Reading Hospital,420 S 5th Avenue,Reading,Pennsylvania,19611,Berks,0,0,0,0,631,0,631,-75.950171 40.330642
806,UPMC-McKeesport,1500 5th Avenue,Mc Keesport,Pennsylvania,15132,Allegheny,0,0,0,19,97,20,136,-79.849218 40.3523
807,Family First Hlth George St Ctr,116 South George Street,York,Pennsylvania,17401,York,0,0,0,336,98,20,454,-76.726805 39.960757
808,Wellspan WIM-Washington Street,423 South Washington Street,Gettysburg,PA,17325,Adams,0,0,0,0,86,6,92,-77.23329 39.825114
809,Bensalem Pharmacy,2112 Street Road,Bensalem,Pennsylvania,19020,Bucks,0,0,0,0,244,5,249,-74.947868 40.099555
810,Functnal Hth Ctr Phoenix Contact,586 Fulling Mill Rd,Middletown,Pennsylvania,17057,Dauphin,0,0,0,0,2,0,2,-76.75007 40.229379
811,Tri-County Pediatrics Southampton,729 Grove Ave,Southampton,Pennsylvania,18966,Bucks,0,0,0,0,234,459,693,-75.045071 40.175966
812,Integrated Med Grp PC Pine Grove,8 Oak Grove Road,Pine Grove,Pennsylvania,17963,Schuylkill,0,0,0,63,458,0,521,-76.395667 40.558478
813,Retreat Behavioral Health,1170 S State St,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,11,144,0,155,-76.200765 40.164419
814,LGH-Lincoln Family Medicine,1645 West Main Street,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,0,63,0,63,-76.204841 40.199719
815,Pepper Pharmacy,195 to 197 East Plumstead Ave,Lansdowne,Pennsylvania,19050,Delaware,0,0,0,25,641,5,671,-75.26855 39.95048
816,Wellspan Ped Med S George St,2339 South George Street,York,Pennsylvania,17403,York,0,0,0,4,75,0,79,-76.715499 39.922471
817,Fam First Hlth Gettysburg Ctr,Peebles Plaza 1275-17 York Road,Gettysburg,Pennsylvania,17325,Adams,0,0,0,98,0,0,98,
818,UPMC-Hamot,201 State St,Erie,Pennsylvania,16507,Erie,0,0,0,31,251,0,282,-80.087825 42.133331
819,PHN-Sharon Medical Group Pediatrics,63 Pitt Street,Sharon,Pennsylvania,16146,Mercer,0,0,0,27,220,0,247,-80.507917 41.23373
820,Hth Direct Instnal Pharm Srvs146,590 Coal St,Lehighton,Pennsylvania,18235,Carbon,0,0,0,7,6,0,13,-75.71757 40.836536
821,The Medicine Shoppe 0838,20 Bailey Avenue,Pittsburgh,Pennsylvania,15211,Allegheny,0,0,0,0,1000,0,1000,-80.004584 40.42699
822,UPMC-Pinnacle Harrisburg,RX DEPT 111 S FRONT ST,Harrisburg,Pennsylvania,17101,Dauphin,0,0,0,1008,226,0,1234,
823,AHOLD USA-GIANT PHARMACY 6004,1008 LITITZ PIKE,LITITZ,PA,17543,Lancaster,5,0,0,13,473,100,591,-76.304792 40.129912
824,Penn St Milton S Hershey Med Ctr,500 University Drive,Hershey,Pennsylvania,17033,Dauphin,0,0,0,41,64,0,105,-76.674557 40.265932
825,Community Primary Care,1000 West View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,1,0,1,-80.035941 40.516655
826,HersheyCare Pharmacy,475 W Governor Road Ste #2,Hershey,Pennsylvania,17033,Dauphin,2,0,0,306,1286,715,2309,-76.661173 40.271712
827,Penn Highlands Elk,763 Johnsonburg Rd,Saint Marys,Pennsylvania,15857,Elk,1,19,5,65,3,1320,1413,-78.576794 41.426857
828,Newport Pharmacy,57 S 2nd St,Newport,Pennsylvania,17074,Perry,0,0,0,14,342,40,396,-77.129646 40.476737
829,WellSpan Fam Med Mercersburg,2 Keefer Drive,Mercersburg,Pennsylvania,17236,Franklin,0,0,0,0,100,0,100,-77.900017 39.839897
830,Guthrie Clinic Wellsboro,110 Plaza Lane,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,9,638,20,667,-77.282069 41.744225
831,UPMC Jameson,1211 Wilmington Avenue Pharmacy Dept,New Castle,Pennsylvania,16105,Lawrence,5,0,0,15,69,0,89,-80.351116 41.013452
832,Berks Genesis Family Medicine PC,1555 Schuylkill Ave,Reading,Pennsylvania,19601,Berks,0,0,0,26,0,0,26,-75.951184 40.358665
833,Medmart Pharmacy,2618 Memorial Blvd Ste A,Connellsville,Pennsylvania,15425,Fayette,0,0,0,2,24,0,26,-79.562241 40.058113
834,GIANT PHARMACY-6253,130 OLD YORK ROAD,NEW CUMBERLAND,PA,17070,Cumberland,0,1,0,45,601,0,647,-76.859992 40.215176
835,Wellspan Family Medicine-Roosevelt Ave,1401 Roosevelt Avenue,York,PA,17404,York,0,0,0,11,0,0,11,-76.758734 39.97938
836,Wellspan York Hospital,1001 S .George,York,Pennsylvania,17405,York,0,0,0,6,641,0,647,-76.720535 39.946668
837,Alberts Pharmacy,201 S. Main Street,Pittston,Pennsylvania,18640,Luzerne,0,0,0,54,1823,1342,3219,-75.79384 41.318462
838,WellSpan Internl Med Apple Hill  St,25 Monument Rd,York,PA,17403,York,0,0,1,3,105,0,109,-76.716233 39.923562
839,Medical Arts Pharmacy,220 WILSON STE 100,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,0,192,0,192,-77.202874 40.198526
840,Lancaster Pediatric Associates,2106 Harrisburg Pike,Lancaster,Pennsylvania,17601,Lancaster,1,0,0,36,47,0,84,-76.35333 40.066978
841,Plundo Medical Associates,518 Pellis Road,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,27,304,176,507,-79.521942 40.294034
842,Kindred Hospital Phila-Havertown,2000 Old West Chester Pike,Havertown,Pennsylvania,19083,Delaware,0,2,0,179,78,0,259,-75.334436 39.975738
843,PSH Holy Spirit Medical Center,503 North 21st Street Pharmacy Department,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,36,67,12,115,-76.923468 40.25141
844,Wellspan Surgical and Rehab Hosp,55 Monument Rd,York,Pennsylvania,17403,York,0,0,0,12,47,0,59,-76.716898 39.923277
845,FPC-Millersburg Fam Prac Center,100 1st St,Millersburg,Pennsylvania,17061,Dauphin,0,0,0,0,32,0,32,-76.962413 40.534461
846,GIANT PHARMACY-6084,2670 EGYPT ROAD,NORRISTOWN,PA,19403,Montgomery,0,0,0,235,123,235,593,-75.405366 40.130509
847,Penn St Hlth Cmty Vax Site Berks,2400 Bernville Road,Reading,Pennsylvania,19605,Berks,12,0,0,168,39,0,219,-75.970548 40.374401
848,Barclay M Wilson DO,130 South Front Street,Milton,Pennsylvania,17847,Northumberland,0,0,0,13,0,0,13,-76.856069 41.018111
849,Wellspan Family Medicine-Crossroads,4131 Oregon Pike,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,9,25,36,70,-76.21946 40.129015
850,The Clinic,143 Church Street,Phoenixville,Pennsylvania,19460,Chester,0,0,0,41,4,0,45,-75.512689 40.133255
851,Highlands Hospital,401 East Murphy Ave,Connellsville,Pennsylvania,15425,Fayette,4,39,0,50,5,195,293,-79.586216 40.023373
852,MOUNT NITTANY MEDICAL CENTER,PHARMACY DEPT 1800 EAST PARK AVENUE,State College,Pennsylvania,16803,Centre,0,14,0,77,9,6,106,
853,McKeesport Family Health Center,627 Lyle Blvd,Mc Keesport,Pennsylvania,15132,Allegheny,0,0,0,10,48,40,98,-79.858478 40.352177
854,Bedford County SHC,130 Vondersmith Avenue,Bedford,Pennsylvania,15522,Bedford,0,0,0,0,0,50,50,-78.506828 40.016477
855,Bucks County HD Doylestown Clinic,1282 Almshouse Rd 1st Floor,Doylestown,Pennsylvania,18901,Bucks,0,0,0,654,187,3576,4417,-75.133108 40.271613
856,LaCons Pharmacy,1336 Powell Street,Norristown,Pennsylvania,19401,Montgomery,0,0,0,7,208,323,538,-75.336115 40.12397
857,AHN FORBES HOSPITAL,PHARMACY 2570 HAYMAKER ROAD,MONROEVILLE,PENNSYLVANIA,15146,Allegheny,16,8,0,22,15,100,161,
858,GIANT PHARMACY-6255,801 SOUTH 25TH STREET,EASTON,PA,18045,Northampton,0,0,0,17,897,0,914,-75.24666 40.677356
859,BRADDOCK FAMILY HEALTH CENTER,404 BRADDOCK AVE,Braddock,Pennsylvania,15104,Allegheny,0,0,0,0,21,0,21,-79.871236 40.404898
860,BURRELL HEALTH MART PHARMACY,2889 LEECHBURG RD,New Kensington,Pennsylvania,15068,Westmoreland,0,0,0,26,2,267,295,-79.72484 40.589512
861,Freeland Health Center,404 Ridge Street,Freeland,Pennsylvania,18224,Luzerne,0,0,0,11,6,0,17,-75.897419 41.015329
862,Westmoreland County SHC-Greensburg,233 West Otterman Street,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,8,14,0,22,-79.548346 40.302922
863,CHOP Care Network-Media,1021 West Baltimore Pike,Media,Pennsylvania,19063,Delaware,0,0,0,0,550,0,550,-75.425909 39.915015
864,Centro De Salud Latino Americano,17th & Chew St,Allentown,Pennsylvania,18104,Lehigh,0,0,13,177,9,20,219,
865,Grane Supply Inc West Chester,550 E Union St,West Chester,Pennsylvania,19382,Chester,0,0,0,78,57,0,135,-75.593765 39.960867
866,Monvale Primary Care-Belle Vernon,800 Plaza Drive,Belle Vernon,Pennsylvania,15012,Fayette,0,0,0,0,11,0,11,-79.811385 40.188018
867,SCI-Benner Township,301 Institution Drive,Bellefonte,Pennsylvania,16823,Centre,0,0,0,0,207,0,207,-77.780722 40.853927
868,PHN-Punxsutawney Community HC,200 Prushnok Drive,Punxsutawney,Pennsylvania,15767,Jefferson,0,0,0,23,76,10,109,-78.961583 40.945909
869,Geisinger Bloomsburg Hospital,549 Fair Street,Bloomsburg,Pennsylvania,17815,Columbia,0,0,0,15,4,0,19,-76.453193 41.008431
870,GHS-BRADFORD,116 INSTERSTATE PARKWAY,BRADFORD,PENNSYLVANIA,16701,McKean,0,0,1,209,3,120,333,
871,Penn Highlands Huntingdon,1225 Warm Springs Avenue,Huntingdon,Pennsylvania,16652,Huntingdon,0,0,0,60,2,0,62,-78.013908 40.493656
872,The Hometown Pharmacy-Greensburg,730 E. Pittsburgh St,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,0,156,0,156,-79.527622 40.302481
873,FPC Selinsgrove 2 Fam Pract Cntr,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,Snyder,0,0,0,0,16,0,16,-76.850738 40.821767
874,PHN-Sheakleyville Health Center,3339 Perry Highway,Sheakleyville,Pennsylvania,16151,Mercer,0,0,0,7,32,10,49,-80.20577 41.449477
875,Select Specialty Hospital-Johnstown,320 Main St,Johnstown,Pennsylvania,15901,Cambria,0,0,0,3,0,0,3,-78.920885 40.326417
876,Genoa Healthcare-00135,378 W CHESTNUT ST,Washington,Pennsylvania,15301,Washington,0,0,0,31,52,0,83,-80.254028 40.171386
877,VDI-Skippack Pharmacy,4118 W Skippack Pike,Schwenksville,Pennsylvania,19473,Montgomery,0,0,0,838,92,0,930,-75.405269 40.228146
878,GEISINGER WYOMING VALLEY,1000 EAST MOUNTAIN BLVD,WILKES BARRE,PENNSYLVANIA,18711,Luzerne,2,1,0,135,304,818,1260,-75.811717 41.256997
879,Genoa Healthcare 10940,"1610 North Main Street Extension, Suite 104",Butler,Pennsylvania,16001,Butler,0,0,0,0,33,0,33,-79.91157 40.901027
880,Partners in Family Care P.C.,27 Heckel Rd,Mc Kees Rocks,Pennsylvania,15136,Allegheny,0,0,0,18,83,0,101,-80.092812 40.472378
881,MDS RX,246 Friendship Cir,Beaver,Pennsylvania,15009,Beaver,10,1,0,54,0,0,65,-80.32784 40.705697
882,SLUHN-Anderson Campus Hospital,1872 St Luke Blvd Lower Level Pharmacy West Wing,Easton,Pennsylvania,18045,Northampton,19,5,0,152,61,0,237,
883,Tower Health-Phoenixville Hospital,140 Nutt Road,Phoenixville,Pennsylvania,19460,Chester,0,0,0,0,14,0,14,-75.538053 40.133387
884,Main Line Health-Lankenau Medical Center,100 E LANCASTER AVE Inpatient Pharmacy,Wynnewood,Pennsylvania,19096,Montgomery,0,0,0,0,32,0,32,-75.265557 39.993575
885,GIANT PHARMACY-6273,600 E LANCASTER AVE,Reading,Pennsylvania,19607,Berks,0,0,0,43,1103,72,1218,-75.95602 40.30843
886,Family Pharmacy of Archbald,1 KENNEDY PLAZA 4 KELLY STREET,Archbald,Pennsylvania,18403,Lackawanna,0,0,0,9,57,361,427,
887,Reading Discount Pharmacy,1220 Centre Ave,Reading,Pennsylvania,19601,Berks,0,0,0,3,268,0,271,-75.933763 40.354206
888,VaxCare-Chester County Health Dept,601 Westtown Road Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,0,0,618,205,445,1268,-75.584731 39.957921
889,Laurel Pediatric Associates Inc,323 Budfield Street,Johnstown,Pennsylvania,15904,Cambria,5,0,0,228,34,512,779,-78.845889 40.268908
890,FPC Mifflintown Fam Prac Cntr,2813 Industrial Park Road,Mifflintown,Pennsylvania,17059,Juniata,0,0,0,10,124,131,265,-77.368467 40.583695
891,GIANT PHARMACY-6461,801 BALTIMORE STREET,HANOVER,PA,17331,York,0,0,0,86,613,104,803,-76.969742 39.788077
892,Giant Eagle Pharmacy-9,State Routes 30 & 66,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,17,236,0,253,
893,AHN AC Primary Care Morningside,1748 Jancey Street,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,0,0,18,18,-79.926669 40.485787
894,AHN-AC IM PRMA 5375 WLM FL,5375 WILLIAM FLYNN HWY,Gibsonia,Pennsylvania,15044,Allegheny,0,0,0,2,35,0,37,-79.944526 40.619966
895,East End Family Health Center,745 N Negley Ave,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,57,102,0,159,-79.926429 40.471273
