"Age group","year","week","case_definition","White","Black/African American","American Indian","Asian/Pacific Islander","Multiracial","Hispanic","webDate"
"12+",2021,50,"Completed vaccine series","69.1 %","63.6 %","57.1 %","81.4 %","43.2 %","64 %",2022-07-30
"65+",2021,49,"At least one vaccine dose","100 %","100 %","86.7 %","100 %","98.1 %","90.5 %",2022-07-30
"5-11",2021,49,"At least one vaccine dose","27.1 %","10.5 %","20.7 %","33.2 %","16.1 %","15.1 %",2022-07-30
"5+",2021,49,"At least one vaccine dose","68.1 %","60.5 %","56.5 %","79.2 %","38.9 %","60.4 %",2022-07-30
"45-64",2021,49,"At least one vaccine dose","68.6 %","85.9 %","67.2 %","93.2 %","68.1 %","81 %",2022-07-30
"19-44",2021,49,"At least one vaccine dose","63.1 %","62 %","56.2 %","79.4 %","43.8 %","67.3 %",2022-07-30
"12-18",2021,49,"At least one vaccine dose","53.2 %","53.5 %","54.6 %","83.4 %","29.5 %","56.7 %",2022-07-30
"12+",2021,49,"At least one vaccine dose","71.8 %","69.8 %","62.4 %","85.4 %","45.8 %","69.4 %",2022-07-30
"65+",2021,49,"Completed vaccine series","96.7 %","100 %","83.8 %","100 %","93.6 %","85.7 %",2022-07-30
"5-11",2021,49,"Completed vaccine series","17.4 %","4.3 %","9.3 %","16.3 %","9.5 %","7.3 %",2022-07-30
"5+",2021,49,"Completed vaccine series","64.6 %","54 %","49.9 %","73.4 %","35.2 %","54.3 %",2022-07-30
"45-64",2021,49,"Completed vaccine series","66.6 %","80.7 %","62.6 %","90 %","65.8 %","76.7 %",2022-07-30
"19-44",2021,49,"Completed vaccine series","59.8 %","54.8 %","49.6 %","74.9 %","40.8 %","61 %",2022-07-30
"12-18",2021,49,"Completed vaccine series","49.9 %","46.3 %","47.4 %","77.7 %","27.1 %","50.7 %",2022-07-30
"12+",2021,49,"Completed vaccine series","68.9 %","63.2 %","56.7 %","81.1 %","43 %","63.6 %",2022-07-30
"65+",2021,48,"At least one vaccine dose","100 %","100 %","86.6 %","100 %","97.8 %","90.2 %",2022-07-30
"5-11",2021,48,"At least one vaccine dose","25.5 %","9.1 %","18.9 %","29.8 %","14.9 %","13.2 %",2022-07-30
"5+",2021,48,"At least one vaccine dose","67.8 %","59.8 %","55.9 %","78.5 %","38.4 %","59.6 %",2022-07-30
"45-64",2021,48,"At least one vaccine dose","68.4 %","85.5 %","66.9 %","92.9 %","67.9 %","80.6 %",2022-07-30
"19-44",2021,48,"At least one vaccine dose","62.8 %","61.5 %","55.8 %","79 %","43.6 %","66.8 %",2022-07-30
"12-18",2021,48,"At least one vaccine dose","52.9 %","52.9 %","54.1 %","82.9 %","29.3 %","56.1 %",2022-07-30
"12+",2021,48,"At least one vaccine dose","71.6 %","69.3 %","62 %","85.1 %","45.6 %","68.9 %",2022-07-30
"65+",2021,48,"Completed vaccine series","96.7 %","100 %","83.8 %","100 %","93.5 %","85.5 %",2022-07-30
"5-11",2021,48,"Completed vaccine series","10.5 %","2 %","5.8 %","8 %","5.5 %","3.9 %",2022-07-30
"5+",2021,48,"Completed vaccine series","63.9 %","53.2 %","49.1 %","72.1 %","34.1 %","53.4 %",2022-07-30
"45-64",2021,48,"Completed vaccine series","66.5 %","80.4 %","62.3 %","89.8 %","65.7 %","76.5 %",2022-07-30
"19-44",2021,48,"Completed vaccine series","59.6 %","54.3 %","49.2 %","74.6 %","40.7 %","60.6 %",2022-07-30
"12-18",2021,48,"Completed vaccine series","49.3 %","45.8 %","46.6 %","76.7 %","26.7 %","50.1 %",2022-07-30
"12+",2021,48,"Completed vaccine series","68.7 %","62.8 %","56.3 %","80.8 %","42.8 %","63.3 %",2022-07-30
"65+",2021,47,"At least one vaccine dose","100 %","100 %","86.4 %","100 %","97.7 %","89.8 %",2022-07-30
"5-11",2021,47,"At least one vaccine dose","23.5 %","7.6 %","16 %","26.1 %","13.5 %","11.5 %",2022-07-30
"5+",2021,47,"At least one vaccine dose","67.4 %","59.1 %","55 %","77.7 %","38 %","58.9 %",2022-07-30
"45-64",2021,47,"At least one vaccine dose","68.2 %","85 %","66.6 %","92.6 %","67.8 %","80.2 %",2022-07-30
"19-44",2021,47,"At least one vaccine dose","62.5 %","60.8 %","55.1 %","78.6 %","43.4 %","66.2 %",2022-07-30
"12-18",2021,47,"At least one vaccine dose","52.6 %","52.3 %","53 %","82.3 %","29.1 %","55.6 %",2022-07-30
"12+",2021,47,"At least one vaccine dose","71.3 %","68.7 %","61.4 %","84.7 %","45.4 %","68.4 %",2022-07-30
"65+",2021,47,"Completed vaccine series","96.6 %","100 %","83.6 %","100 %","93.3 %","85.3 %",2022-07-30
"5-11",2021,47,"Completed vaccine series","1.5 %","0.2 %","0.5 %","0.7 %","0.9 %","0.4 %",2022-07-30
"5+",2021,47,"Completed vaccine series","62.9 %","52.5 %","47.8 %","70.9 %","32.8 %","52.5 %",2022-07-30
"45-64",2021,47,"Completed vaccine series","66.3 %","80 %","62 %","89.6 %","65.5 %","76.2 %",2022-07-30
"19-44",2021,47,"Completed vaccine series","59.3 %","53.7 %","48.5 %","74.3 %","40.4 %","60.2 %",2022-07-30
"12-18",2021,47,"Completed vaccine series","48.4 %","45.2 %","45.5 %","75.7 %","26.1 %","49.5 %",2022-07-30
"12+",2021,47,"Completed vaccine series","68.4 %","62.3 %","55.7 %","80.4 %","42.4 %","62.8 %",2022-07-30
"65+",2021,46,"At least one vaccine dose","99.8 %","100 %","86.3 %","100 %","97.5 %","89.5 %",2022-07-30
"5-11",2021,46,"At least one vaccine dose","20.1 %","5.8 %","13.4 %","20.3 %","11.2 %","9.3 %",2022-07-30
"5+",2021,46,"At least one vaccine dose","66.9 %","58.5 %","54.3 %","76.7 %","37.3 %","58.3 %",2022-07-30
"45-64",2021,46,"At least one vaccine dose","68.1 %","84.8 %","66.3 %","92.4 %","67.6 %","80 %",2022-07-30
"19-44",2021,46,"At least one vaccine dose","62.2 %","60.4 %","54.7 %","78.3 %","43.2 %","65.9 %",2022-07-30
"12-18",2021,46,"At least one vaccine dose","52.1 %","51.8 %","52.4 %","81.6 %","28.8 %","55.1 %",2022-07-30
"12+",2021,46,"At least one vaccine dose","71.1 %","68.3 %","61.1 %","84.3 %","45.2 %","68 %",2022-07-30
"65+",2021,46,"Completed vaccine series","96.5 %","100 %","83.5 %","100 %","93.3 %","85.2 %",2022-07-30
"5-11",2021,46,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,46,"Completed vaccine series","62.6 %","52.2 %","47.5 %","70.6 %","32.4 %","52.2 %",2022-07-30
"45-64",2021,46,"Completed vaccine series","66.2 %","79.8 %","61.8 %","89.4 %","65.4 %","76 %",2022-07-30
"19-44",2021,46,"Completed vaccine series","59.1 %","53.3 %","48.3 %","74.1 %","40.3 %","59.9 %",2022-07-30
"12-18",2021,46,"Completed vaccine series","48 %","44.8 %","44.9 %","75.2 %","25.8 %","49.1 %",2022-07-30
"12+",2021,46,"Completed vaccine series","68.2 %","61.9 %","55.4 %","80.2 %","42.3 %","62.5 %",2022-07-30
"65+",2021,45,"At least one vaccine dose","99.6 %","100 %","86 %","100 %","97.2 %","89.2 %",2022-07-30
"5-11",2021,45,"At least one vaccine dose","12.8 %","2.8 %","8.3 %","10.4 %","6.7 %","5 %",2022-07-30
"5+",2021,45,"At least one vaccine dose","66 %","57.6 %","53 %","75.2 %","36 %","57.2 %",2022-07-30
"45-64",2021,45,"At least one vaccine dose","67.9 %","84.4 %","65.9 %","92.2 %","67.4 %","79.7 %",2022-07-30
"19-44",2021,45,"At least one vaccine dose","61.9 %","59.8 %","54 %","78 %","43 %","65.4 %",2022-07-30
"12-18",2021,45,"At least one vaccine dose","51.5 %","51.1 %","51.1 %","80.7 %","28.3 %","54.5 %",2022-07-30
"12+",2021,45,"At least one vaccine dose","70.8 %","67.8 %","60.4 %","84 %","44.9 %","67.6 %",2022-07-30
"65+",2021,45,"Completed vaccine series","96.4 %","100 %","83.3 %","100 %","93.2 %","84.9 %",2022-07-30
"5-11",2021,45,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,45,"Completed vaccine series","62.4 %","51.8 %","47.2 %","70.3 %","32.3 %","51.9 %",2022-07-30
"45-64",2021,45,"Completed vaccine series","66 %","79.4 %","61.5 %","89.3 %","65.2 %","75.7 %",2022-07-30
"19-44",2021,45,"Completed vaccine series","58.8 %","52.8 %","47.8 %","73.8 %","40.1 %","59.5 %",2022-07-30
"12-18",2021,45,"Completed vaccine series","47.6 %","44.3 %","44.4 %","74.7 %","25.6 %","48.6 %",2022-07-30
"12+",2021,45,"Completed vaccine series","68 %","61.5 %","55.1 %","79.9 %","42.1 %","62.2 %",2022-07-30
"65+",2021,44,"At least one vaccine dose","99.3 %","100 %","85.9 %","100 %","96.8 %","88.7 %",2022-07-30
"5-11",2021,44,"At least one vaccine dose","2.6 %","0.4 %","1.5 %","1.4 %","1.3 %","0.8 %",2022-07-30
"5+",2021,44,"At least one vaccine dose","64.9 %","56.8 %","51.7 %","73.7 %","34.5 %","56.1 %",2022-07-30
"45-64",2021,44,"At least one vaccine dose","67.7 %","84.1 %","65.7 %","92 %","67.3 %","79.4 %",2022-07-30
"19-44",2021,44,"At least one vaccine dose","61.6 %","59.4 %","53.6 %","77.7 %","42.8 %","65 %",2022-07-30
"12-18",2021,44,"At least one vaccine dose","50.6 %","50.4 %","50 %","79.7 %","27.7 %","53.8 %",2022-07-30
"12+",2021,44,"At least one vaccine dose","70.5 %","67.3 %","60 %","83.6 %","44.5 %","67.1 %",2022-07-30
"65+",2021,44,"Completed vaccine series","96.3 %","100 %","83.2 %","100 %","93.1 %","84.7 %",2022-07-30
"5-11",2021,44,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,44,"Completed vaccine series","62.2 %","51.4 %","46.9 %","70.1 %","32.1 %","51.6 %",2022-07-30
"45-64",2021,44,"Completed vaccine series","65.8 %","79.1 %","61.3 %","89 %","65 %","75.4 %",2022-07-30
"19-44",2021,44,"Completed vaccine series","58.6 %","52.2 %","47.4 %","73.5 %","39.9 %","59.1 %",2022-07-30
"12-18",2021,44,"Completed vaccine series","47.3 %","43.7 %","43.8 %","74.1 %","25.4 %","48.2 %",2022-07-30
"12+",2021,44,"Completed vaccine series","67.8 %","61 %","54.7 %","79.6 %","41.9 %","61.8 %",2022-07-30
"65+",2021,43,"At least one vaccine dose","99 %","100 %","85.7 %","100 %","96.4 %","88.4 %",2022-07-30
"5-11",2021,43,"At least one vaccine dose","0.1 %","0 %","0 %","0.1 %","0 %","0 %",2022-07-30
"5+",2021,43,"At least one vaccine dose","64.4 %","56.4 %","51.1 %","73.3 %","34 %","55.7 %",2022-07-30
"45-64",2021,43,"At least one vaccine dose","67.5 %","83.8 %","65.4 %","91.7 %","67.1 %","79.1 %",2022-07-30
"19-44",2021,43,"At least one vaccine dose","61.3 %","58.8 %","53.1 %","77.4 %","42.5 %","64.6 %",2022-07-30
"12-18",2021,43,"At least one vaccine dose","50.1 %","49.9 %","49.4 %","79 %","27.3 %","53.3 %",2022-07-30
"12+",2021,43,"At least one vaccine dose","70.2 %","66.9 %","59.6 %","83.2 %","44.3 %","66.8 %",2022-07-30
"65+",2021,43,"Completed vaccine series","96.2 %","100 %","83.1 %","100 %","92.9 %","84.5 %",2022-07-30
"5-11",2021,43,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,43,"Completed vaccine series","62.1 %","51 %","46.6 %","69.8 %","32 %","51.2 %",2022-07-30
"45-64",2021,43,"Completed vaccine series","65.6 %","78.7 %","60.9 %","88.9 %","64.8 %","75.1 %",2022-07-30
"19-44",2021,43,"Completed vaccine series","58.3 %","51.7 %","46.9 %","73.1 %","39.7 %","58.6 %",2022-07-30
"12-18",2021,43,"Completed vaccine series","47 %","43.2 %","43.3 %","73.6 %","25.2 %","47.8 %",2022-07-30
"12+",2021,43,"Completed vaccine series","67.6 %","60.5 %","54.3 %","79.3 %","41.7 %","61.4 %",2022-07-30
"65+",2021,42,"At least one vaccine dose","98.6 %","100 %","85.5 %","100 %","95.8 %","88 %",2022-07-30
"5-11",2021,42,"At least one vaccine dose","0.1 %","0 %","0 %","0.1 %","0 %","0 %",2022-07-30
"5+",2021,42,"At least one vaccine dose","64.2 %","56 %","50.7 %","73 %","33.8 %","55.3 %",2022-07-30
"45-64",2021,42,"At least one vaccine dose","67.3 %","83.4 %","65.1 %","91.5 %","66.9 %","78.8 %",2022-07-30
"19-44",2021,42,"At least one vaccine dose","61 %","58.3 %","52.6 %","77 %","42.3 %","64.2 %",2022-07-30
"12-18",2021,42,"At least one vaccine dose","49.8 %","49.4 %","48.9 %","78.5 %","27.1 %","52.9 %",2022-07-30
"12+",2021,42,"At least one vaccine dose","69.9 %","66.4 %","59.2 %","82.9 %","44 %","66.3 %",2022-07-30
"65+",2021,42,"Completed vaccine series","96 %","100 %","82.9 %","100 %","92.8 %","84.3 %",2022-07-30
"45-64",2021,42,"Completed vaccine series","65.5 %","78.3 %","60.5 %","88.6 %","64.6 %","74.9 %",2022-07-30
"19-44",2021,42,"Completed vaccine series","58 %","51 %","46.4 %","72.8 %","39.4 %","58.1 %",2022-07-30
"12-18",2021,42,"Completed vaccine series","46.7 %","42.7 %","42.8 %","73.2 %","25 %","47.3 %",2022-07-30
"12+",2021,42,"Completed vaccine series","67.4 %","59.9 %","53.9 %","79 %","41.4 %","61 %",2022-07-30
"65+",2021,41,"At least one vaccine dose","98.4 %","100 %","85.3 %","100 %","95.6 %","87.7 %",2022-07-30
"5-11",2021,41,"At least one vaccine dose","0.1 %","0 %","0 %","0.1 %","0 %","0 %",2022-07-30
"5+",2021,41,"At least one vaccine dose","64 %","55.5 %","50.4 %","72.7 %","33.6 %","55 %",2022-07-30
"45-64",2021,41,"At least one vaccine dose","67.1 %","83 %","64.8 %","91.3 %","66.7 %","78.5 %",2022-07-30
"19-44",2021,41,"At least one vaccine dose","60.8 %","57.6 %","52.1 %","76.7 %","42.1 %","63.8 %",2022-07-30
"12-18",2021,41,"At least one vaccine dose","49.4 %","48.7 %","48.3 %","77.8 %","26.9 %","52.4 %",2022-07-30
"12+",2021,41,"At least one vaccine dose","69.7 %","65.8 %","58.8 %","82.6 %","43.8 %","66 %",2022-07-30
"65+",2021,41,"Completed vaccine series","95.9 %","100 %","82.8 %","100 %","92.7 %","84.1 %",2022-07-30
"5-11",2021,41,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,41,"Completed vaccine series","61.6 %","50 %","45.8 %","69.2 %","31.6 %","50.5 %",2022-07-30
"45-64",2021,41,"Completed vaccine series","65.3 %","77.8 %","60.3 %","88.5 %","64.4 %","74.6 %",2022-07-30
"19-44",2021,41,"Completed vaccine series","57.7 %","50.4 %","45.9 %","72.4 %","39.2 %","57.7 %",2022-07-30
"12-18",2021,41,"Completed vaccine series","46.4 %","42 %","42.1 %","72.6 %","24.8 %","46.7 %",2022-07-30
"12+",2021,41,"Completed vaccine series","67.2 %","59.4 %","53.4 %","78.6 %","41.2 %","60.5 %",2022-07-30
"65+",2021,40,"At least one vaccine dose","98.2 %","100 %","85.1 %","100 %","95.3 %","87.4 %",2022-07-30
"5-11",2021,40,"At least one vaccine dose","0.1 %","0 %","0 %","0.1 %","0 %","0 %",2022-07-30
"5+",2021,40,"At least one vaccine dose","63.8 %","55 %","50 %","72.5 %","33.4 %","54.6 %",2022-07-30
"45-64",2021,40,"At least one vaccine dose","67 %","82.6 %","64.6 %","91.1 %","66.5 %","78.2 %",2022-07-30
"19-44",2021,40,"At least one vaccine dose","60.5 %","57 %","51.6 %","76.4 %","41.8 %","63.2 %",2022-07-30
"12-18",2021,40,"At least one vaccine dose","49.1 %","48.2 %","47.7 %","77.4 %","26.7 %","51.9 %",2022-07-30
"12+",2021,40,"At least one vaccine dose","69.5 %","65.3 %","58.3 %","82.3 %","43.6 %","65.5 %",2022-07-30
"65+",2021,40,"Completed vaccine series","95.8 %","100 %","82.7 %","100 %","92.6 %","83.9 %",2022-07-30
"5-11",2021,40,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,40,"Completed vaccine series","61.4 %","49.5 %","45.3 %","68.9 %","31.4 %","50.1 %",2022-07-30
"45-64",2021,40,"Completed vaccine series","65.1 %","77.3 %","59.8 %","88.3 %","64.2 %","74.3 %",2022-07-30
"19-44",2021,40,"Completed vaccine series","57.4 %","49.7 %","45.2 %","72.1 %","38.9 %","57.1 %",2022-07-30
"12-18",2021,40,"Completed vaccine series","46 %","41.4 %","41 %","71.9 %","24.5 %","46.1 %",2022-07-30
"12+",2021,40,"Completed vaccine series","66.9 %","58.7 %","52.8 %","78.3 %","41 %","60.1 %",2022-07-30
"65+",2021,39,"At least one vaccine dose","97.9 %","100 %","84.9 %","100 %","94.9 %","87.1 %",2022-07-30
"5-11",2021,39,"At least one vaccine dose","0.1 %","0 %","0 %","0.1 %","0 %","0 %",2022-07-30
"5+",2021,39,"At least one vaccine dose","63.5 %","54.5 %","49.6 %","72.2 %","33.3 %","54.3 %",2022-07-30
"45-64",2021,39,"At least one vaccine dose","66.8 %","82.2 %","64.2 %","90.9 %","66.3 %","77.9 %",2022-07-30
"19-44",2021,39,"At least one vaccine dose","60.2 %","56.3 %","51 %","76.1 %","41.6 %","62.7 %",2022-07-30
"12-18",2021,39,"At least one vaccine dose","48.9 %","47.6 %","47.1 %","76.9 %","26.5 %","51.4 %",2022-07-30
"12+",2021,39,"At least one vaccine dose","69.2 %","64.7 %","57.9 %","82 %","43.4 %","65.1 %",2022-07-30
"65+",2021,39,"Completed vaccine series","95.7 %","100 %","82.4 %","100 %","92.4 %","83.7 %",2022-07-30
"5-11",2021,39,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,39,"Completed vaccine series","61.2 %","49 %","44.7 %","68.6 %","31.2 %","49.7 %",2022-07-30
"45-64",2021,39,"Completed vaccine series","64.8 %","76.8 %","59.3 %","88 %","64 %","74 %",2022-07-30
"19-44",2021,39,"Completed vaccine series","57 %","49 %","44.4 %","71.7 %","38.6 %","56.6 %",2022-07-30
"12-18",2021,39,"Completed vaccine series","45.6 %","40.6 %","40.1 %","71.2 %","24.3 %","45.5 %",2022-07-30
"12+",2021,39,"Completed vaccine series","66.6 %","58.1 %","52.1 %","77.9 %","40.7 %","59.6 %",2022-07-30
"65+",2021,38,"At least one vaccine dose","97.5 %","100 %","84.6 %","100 %","94.5 %","86.9 %",2022-07-30
"5-11",2021,38,"At least one vaccine dose","0.1 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,38,"At least one vaccine dose","63.3 %","54 %","49.1 %","71.8 %","33.1 %","53.9 %",2022-07-30
"45-64",2021,38,"At least one vaccine dose","66.6 %","81.7 %","63.7 %","90.7 %","66.1 %","77.6 %",2022-07-30
"19-44",2021,38,"At least one vaccine dose","59.9 %","55.5 %","50.3 %","75.7 %","41.3 %","62.1 %",2022-07-30
"12-18",2021,38,"At least one vaccine dose","48.5 %","47 %","46.5 %","76.3 %","26.3 %","50.9 %",2022-07-30
"12+",2021,38,"At least one vaccine dose","68.9 %","64 %","57.3 %","81.6 %","43.1 %","64.6 %",2022-07-30
"65+",2021,38,"Completed vaccine series","95.5 %","100 %","82.3 %","100 %","92.2 %","83.4 %",2022-07-30
"5-11",2021,38,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,38,"Completed vaccine series","60.9 %","48.4 %","44.2 %","68.2 %","31 %","49.2 %",2022-07-30
"45-64",2021,38,"Completed vaccine series","64.6 %","76.3 %","58.9 %","87.8 %","63.6 %","73.6 %",2022-07-30
"19-44",2021,38,"Completed vaccine series","56.6 %","48.3 %","43.8 %","71.3 %","38.3 %","56 %",2022-07-30
"12-18",2021,38,"Completed vaccine series","45.1 %","39.9 %","39.1 %","70.4 %","23.9 %","44.8 %",2022-07-30
"12+",2021,38,"Completed vaccine series","66.4 %","57.4 %","51.6 %","77.5 %","40.4 %","59 %",2022-07-30
"65+",2021,37,"At least one vaccine dose","97.3 %","100 %","84.5 %","100 %","94.3 %","86.5 %",2022-07-30
"5-11",2021,37,"At least one vaccine dose","0.1 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,37,"At least one vaccine dose","63 %","53.4 %","48.5 %","71.5 %","32.9 %","53.4 %",2022-07-30
"45-64",2021,37,"At least one vaccine dose","66.4 %","81.2 %","63.2 %","90.5 %","65.9 %","77.3 %",2022-07-30
"19-44",2021,37,"At least one vaccine dose","59.5 %","54.7 %","49.5 %","75.3 %","41 %","61.5 %",2022-07-30
"12-18",2021,37,"At least one vaccine dose","48.2 %","46.2 %","45.3 %","75.7 %","26 %","50.3 %",2022-07-30
"12+",2021,37,"At least one vaccine dose","68.7 %","63.3 %","56.6 %","81.2 %","42.8 %","64 %",2022-07-30
"65+",2021,37,"Completed vaccine series","95.4 %","100 %","81.9 %","100 %","92 %","83.2 %",2022-07-30
"5-11",2021,37,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,37,"Completed vaccine series","60.6 %","47.8 %","43.6 %","67.7 %","30.7 %","48.6 %",2022-07-30
"45-64",2021,37,"Completed vaccine series","64.3 %","75.7 %","58.5 %","87.5 %","63.3 %","73.1 %",2022-07-30
"19-44",2021,37,"Completed vaccine series","56.2 %","47.5 %","43 %","70.8 %","37.9 %","55.3 %",2022-07-30
"12-18",2021,37,"Completed vaccine series","44.4 %","38.5 %","37.7 %","69 %","23.5 %","43.5 %",2022-07-30
"12+",2021,37,"Completed vaccine series","66 %","56.6 %","50.8 %","77 %","40 %","58.3 %",2022-07-30
"65+",2021,36,"At least one vaccine dose","97.2 %","100 %","84.3 %","100 %","94.2 %","86.2 %",2022-07-30
"5-11",2021,36,"At least one vaccine dose","0.1 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,36,"At least one vaccine dose","62.7 %","52.7 %","47.9 %","71.1 %","32.6 %","52.9 %",2022-07-30
"45-64",2021,36,"At least one vaccine dose","66.1 %","80.5 %","62.7 %","90.2 %","65.6 %","76.9 %",2022-07-30
"19-44",2021,36,"At least one vaccine dose","59.1 %","53.8 %","48.6 %","74.8 %","40.6 %","60.8 %",2022-07-30
"12-18",2021,36,"At least one vaccine dose","47.7 %","45.4 %","44.1 %","75 %","25.7 %","49.6 %",2022-07-30
"12+",2021,36,"At least one vaccine dose","68.3 %","62.5 %","55.8 %","80.8 %","42.5 %","63.4 %",2022-07-30
"65+",2021,36,"Completed vaccine series","95.3 %","100 %","81.8 %","100 %","91.9 %","83 %",2022-07-30
"5-11",2021,36,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,36,"Completed vaccine series","60.1 %","46.9 %","42.9 %","67.2 %","30.3 %","47.9 %",2022-07-30
"45-64",2021,36,"Completed vaccine series","64 %","74.9 %","57.9 %","87.2 %","62.8 %","72.6 %",2022-07-30
"19-44",2021,36,"Completed vaccine series","55.6 %","46.4 %","42.1 %","70.2 %","37.5 %","54.4 %",2022-07-30
"12-18",2021,36,"Completed vaccine series","43.4 %","37 %","36.4 %","67.4 %","22.9 %","42.1 %",2022-07-30
"12+",2021,36,"Completed vaccine series","65.5 %","55.6 %","50.1 %","76.3 %","39.6 %","57.4 %",2022-07-30
"65+",2021,35,"At least one vaccine dose","97.1 %","100 %","84.1 %","100 %","94 %","85.9 %",2022-07-30
"5-11",2021,35,"At least one vaccine dose","0.1 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,35,"At least one vaccine dose","62.4 %","52.1 %","47.3 %","70.8 %","32.4 %","52.4 %",2022-07-30
"45-64",2021,35,"At least one vaccine dose","65.9 %","80 %","62.2 %","90 %","65.3 %","76.5 %",2022-07-30
"19-44",2021,35,"At least one vaccine dose","58.6 %","52.9 %","47.8 %","74.4 %","40.3 %","60.1 %",2022-07-30
"12-18",2021,35,"At least one vaccine dose","47.3 %","44.4 %","42.9 %","74.1 %","25.5 %","48.7 %",2022-07-30
"12+",2021,35,"At least one vaccine dose","68 %","61.8 %","55.1 %","80.4 %","42.2 %","62.8 %",2022-07-30
"65+",2021,35,"Completed vaccine series","95.1 %","100 %","81.6 %","100 %","91.6 %","82.6 %",2022-07-30
"5-11",2021,35,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,35,"Completed vaccine series","59.7 %","46.1 %","42.3 %","66.6 %","30 %","47 %",2022-07-30
"45-64",2021,35,"Completed vaccine series","63.6 %","74.1 %","57.2 %","86.8 %","62.4 %","71.9 %",2022-07-30
"19-44",2021,35,"Completed vaccine series","55 %","45.5 %","41.3 %","69.5 %","37.1 %","53.5 %",2022-07-30
"12-18",2021,35,"Completed vaccine series","42.3 %","35.2 %","34.9 %","65.7 %","22.2 %","40.4 %",2022-07-30
"12+",2021,35,"Completed vaccine series","65.1 %","54.6 %","49.3 %","75.6 %","39.1 %","56.4 %",2022-07-30
"65+",2021,34,"At least one vaccine dose","96.9 %","100 %","83.8 %","100 %","93.7 %","85.7 %",2022-07-30
"5-11",2021,34,"At least one vaccine dose","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,34,"At least one vaccine dose","62 %","51.3 %","46.6 %","70.2 %","32 %","51.7 %",2022-07-30
"45-64",2021,34,"At least one vaccine dose","65.6 %","79.3 %","61.8 %","89.7 %","64.9 %","76.1 %",2022-07-30
"19-44",2021,34,"At least one vaccine dose","58.1 %","52 %","47 %","73.8 %","39.8 %","59.3 %",2022-07-30
"12-18",2021,34,"At least one vaccine dose","46.3 %","42.6 %","41.1 %","72.4 %","24.9 %","47.3 %",2022-07-30
"12+",2021,34,"At least one vaccine dose","67.6 %","60.8 %","54.3 %","79.7 %","41.7 %","61.9 %",2022-07-30
"65+",2021,34,"Completed vaccine series","94.9 %","100 %","81.3 %","100 %","91.3 %","82.2 %",2022-07-30
"5-11",2021,34,"Completed vaccine series","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,34,"Completed vaccine series","59.2 %","45.1 %","41.3 %","65.9 %","29.5 %","46.1 %",2022-07-30
"45-64",2021,34,"Completed vaccine series","63.1 %","73.3 %","56.5 %","86.4 %","61.9 %","71.2 %",2022-07-30
"19-44",2021,34,"Completed vaccine series","54.4 %","44.5 %","40.4 %","68.8 %","36.5 %","52.4 %",2022-07-30
"12-18",2021,34,"Completed vaccine series","40.5 %","32.9 %","32.1 %","63.6 %","21.3 %","38.4 %",2022-07-30
"12+",2021,34,"Completed vaccine series","64.5 %","53.5 %","48.2 %","74.8 %","38.4 %","55.2 %",2022-07-30
"65+",2021,33,"At least one vaccine dose","96.8 %","100 %","83.6 %","100 %","93.6 %","85.4 %",2022-07-30
"5-11",2021,33,"At least one vaccine dose","0 %","0 %","0 %","0 %","0 %","0 %",2022-07-30
"5+",2021,33,"At least one vaccine dose","61.6 %","50.4 %","45.8 %","69.6 %","31.7 %","50.9 %",2022-07-30
"45-64",2021,33,"At least one vaccine dose","65.2 %","78.6 %","61.1 %","89.4 %","64.5 %","75.5 %",2022-07-30
"19-44",2021,33,"At least one vaccine dose","57.5 %","51 %","46 %","73.2 %","39.4 %","58.3 %",2022-07-30
"12-18",2021,33,"At least one vaccine dose","45.3 %","40.8 %","39.6 %","70.6 %","24.3 %","45.7 %",2022-07-30
"12+",2021,33,"At least one vaccine dose","67.2 %","59.8 %","53.4 %","79.1 %","41.3 %","61 %",2022-07-30
