Age group,year,week,case_definition,White,Black/African American,American Indian,Asian/Pacific Islander,Multiracial,Hispanic,webDate
65+,2021,52,Completed vaccine series,94.90%,100%,81.50%,100%,78.60%,86.60%,9/16/2022
11-May,2021,52,Completed vaccine series,24%,7.90%,14.80%,27.70%,12.40%,12.20%,9/16/2022
5+,2021,52,Completed vaccine series,64.70%,54.70%,50.70%,74.50%,30.50%,56.40%,9/16/2022
45-64,2021,52,Completed vaccine series,66.30%,80.60%,61.70%,89.90%,53.30%,78.10%,9/16/2022
19-44,2021,52,Completed vaccine series,59.50%,55.20%,50.30%,74.40%,34.20%,62.40%,9/16/2022
18-Dec,2021,52,Completed vaccine series,50.40%,47%,48.60%,78.50%,23.40%,52.90%,9/16/2022
12+,2021,52,Completed vaccine series,68.30%,63.40%,56.70%,80.90%,35.90%,65.20%,9/16/2022
65+,2021,51,At least one vaccine dose,98.50%,100%,84.40%,100%,81.80%,92%,9/16/2022
11-May,2021,51,At least one vaccine dose,29%,13.40%,22.80%,38.90%,15.80%,18.40%,9/16/2022
5+,2021,51,At least one vaccine dose,67.70%,60.90%,56.50%,79.80%,33%,62.20%,9/16/2022
45-64,2021,51,At least one vaccine dose,68.20%,85.50%,66%,93.30%,55.10%,82.50%,9/16/2022
19-44,2021,51,At least one vaccine dose,62.80%,62.20%,56.70%,79%,36.80%,68.70%,9/16/2022
18-Dec,2021,51,At least one vaccine dose,53.10%,54%,54.90%,84.10%,25.30%,58.70%,9/16/2022
12+,2021,51,At least one vaccine dose,71.20%,69.70%,62.10%,85.30%,38.20%,70.90%,9/16/2022
65+,2021,51,Completed vaccine series,94.90%,100%,81.50%,100%,78.60%,86.40%,9/16/2022
11-May,2021,51,Completed vaccine series,22.40%,6.90%,13.30%,25%,11.50%,10.80%,9/16/2022
5+,2021,51,Completed vaccine series,64.40%,54.20%,50.20%,74%,30.20%,55.90%,9/16/2022
45-64,2021,51,Completed vaccine series,66.20%,80.30%,61.50%,89.70%,53.20%,77.90%,9/16/2022
19-44,2021,51,Completed vaccine series,59.30%,54.70%,49.90%,74.20%,34%,62.10%,9/16/2022
18-Dec,2021,51,Completed vaccine series,50%,46.60%,48.10%,78%,23.30%,52.40%,9/16/2022
12+,2021,51,Completed vaccine series,68.20%,63%,56.40%,80.60%,35.80%,64.90%,9/16/2022
65+,2021,50,At least one vaccine dose,98.40%,100%,84.30%,100%,81.70%,91.70%,9/16/2022
11-May,2021,50,At least one vaccine dose,28.10%,12.20%,21.80%,36.20%,15.10%,17.20%,9/16/2022
5+,2021,50,At least one vaccine dose,67.40%,60.30%,56.10%,79.10%,32.70%,61.70%,9/16/2022
45-64,2021,50,At least one vaccine dose,68.10%,85.20%,65.80%,93%,55%,82.20%,9/16/2022
19-44,2021,50,At least one vaccine dose,62.50%,61.70%,56.30%,78.60%,36.50%,68.30%,9/16/2022
18-Dec,2021,50,At least one vaccine dose,52.90%,53.40%,54.50%,83.40%,25.10%,58.30%,9/16/2022
12+,2021,50,At least one vaccine dose,71%,69.30%,61.80%,84.90%,38%,70.60%,9/16/2022
65+,2021,50,Completed vaccine series,94.80%,100%,81.40%,100%,78.50%,86.40%,9/16/2022
11-May,2021,50,Completed vaccine series,20.80%,5.90%,11.70%,21.90%,10.60%,9.80%,9/16/2022
5+,2021,50,Completed vaccine series,64.10%,53.70%,49.80%,73.40%,29.90%,55.60%,9/16/2022
45-64,2021,50,Completed vaccine series,66.10%,80%,61.30%,89.60%,53.10%,77.80%,9/16/2022
19-44,2021,50,Completed vaccine series,59.10%,54.30%,49.60%,74%,33.90%,61.90%,9/16/2022
18-Dec,2021,50,Completed vaccine series,49.70%,46.20%,47.60%,77.60%,23.10%,52.10%,9/16/2022
12+,2021,50,Completed vaccine series,68%,62.60%,56.10%,80.40%,35.70%,64.60%,9/16/2022
65+,2021,49,At least one vaccine dose,98.30%,100%,84.20%,100%,81.70%,91.30%,9/16/2022
11-May,2021,49,At least one vaccine dose,26.50%,10.40%,20.10%,32.40%,14.10%,15.20%,9/16/2022
5+,2021,49,At least one vaccine dose,67.10%,59.60%,55.50%,78.20%,32.30%,61%,9/16/2022
45-64,2021,49,At least one vaccine dose,67.90%,84.80%,65.60%,92.70%,54.90%,81.80%,9/16/2022
19-44,2021,49,At least one vaccine dose,62.20%,61.10%,55.80%,78.20%,36.30%,67.80%,9/16/2022
18-Dec,2021,49,At least one vaccine dose,52.60%,52.70%,54%,82.60%,24.90%,57.80%,9/16/2022
12+,2021,49,At least one vaccine dose,70.70%,68.70%,61.40%,84.50%,37.80%,70.10%,9/16/2022
65+,2021,49,Completed vaccine series,94.80%,100%,81.30%,100%,78.50%,86.30%,9/16/2022
11-May,2021,49,Completed vaccine series,17%,4.20%,9%,15.80%,8.30%,7.40%,9/16/2022
5+,2021,49,Completed vaccine series,63.60%,53.10%,49%,72.40%,29.20%,54.90%,9/16/2022
45-64,2021,49,Completed vaccine series,65.90%,79.70%,61%,89.50%,53.10%,77.50%,9/16/2022
19-44,2021,49,Completed vaccine series,58.90%,53.90%,49.20%,73.70%,33.80%,61.50%,9/16/2022
18-Dec,2021,49,Completed vaccine series,49.20%,45.70%,46.60%,76.70%,22.90%,51.60%,9/16/2022
12+,2021,49,Completed vaccine series,67.80%,62.20%,55.70%,80.10%,35.60%,64.30%,9/16/2022
65+,2021,48,At least one vaccine dose,98.20%,100%,84.10%,100%,81.40%,90.90%,9/16/2022
11-May,2021,48,At least one vaccine dose,24.90%,9%,18.30%,29%,13.10%,13.30%,9/16/2022
5+,2021,48,At least one vaccine dose,66.80%,58.90%,54.90%,77.50%,31.90%,60.30%,9/16/2022
45-64,2021,48,At least one vaccine dose,67.70%,84.50%,65.30%,92.50%,54.70%,81.50%,9/16/2022
19-44,2021,48,At least one vaccine dose,61.90%,60.50%,55.40%,77.80%,36.10%,67.30%,9/16/2022
18-Dec,2021,48,At least one vaccine dose,52.30%,52.20%,53.50%,82.10%,24.70%,57.20%,9/16/2022
12+,2021,48,At least one vaccine dose,70.50%,68.20%,61%,84.10%,37.60%,69.60%,9/16/2022
65+,2021,48,Completed vaccine series,94.70%,100%,81.20%,100%,78.30%,86.10%,9/16/2022
11-May,2021,48,Completed vaccine series,10.30%,2%,5.60%,7.70%,4.90%,3.90%,9/16/2022
5+,2021,48,Completed vaccine series,62.90%,52.40%,48.20%,71.20%,28.20%,54%,9/16/2022
45-64,2021,48,Completed vaccine series,65.80%,79.40%,60.80%,89.30%,52.90%,77.30%,9/16/2022
19-44,2021,48,Completed vaccine series,58.60%,53.40%,48.80%,73.40%,33.60%,61.10%,9/16/2022
18-Dec,2021,48,Completed vaccine series,48.50%,45.10%,45.80%,75.70%,22.50%,51%,9/16/2022
12+,2021,48,Completed vaccine series,67.60%,61.80%,55.30%,79.80%,35.30%,63.90%,9/16/2022
65+,2021,47,At least one vaccine dose,98%,100%,83.90%,100%,81.30%,90.50%,9/16/2022
11-May,2021,47,At least one vaccine dose,23%,7.50%,15.60%,25.40%,11.90%,11.60%,9/16/2022
5+,2021,47,At least one vaccine dose,66.30%,58.20%,54%,76.70%,31.50%,59.60%,9/16/2022
45-64,2021,47,At least one vaccine dose,67.50%,84%,64.90%,92.20%,54.60%,81.10%,9/16/2022
19-44,2021,47,At least one vaccine dose,61.50%,59.90%,54.70%,77.40%,35.90%,66.70%,9/16/2022
18-Dec,2021,47,At least one vaccine dose,51.90%,51.60%,52.40%,81.50%,24.50%,56.60%,9/16/2022
12+,2021,47,At least one vaccine dose,70.20%,67.60%,60.40%,83.70%,37.50%,69.10%,9/16/2022
65+,2021,47,Completed vaccine series,94.60%,100%,81%,100%,78.20%,85.90%,9/16/2022
11-May,2021,47,Completed vaccine series,1.50%,0.20%,0.40%,0.70%,0.80%,0.40%,9/16/2022
5+,2021,47,Completed vaccine series,61.90%,51.70%,46.90%,70%,27%,53%,9/16/2022
45-64,2021,47,Completed vaccine series,65.60%,79%,60.40%,89.10%,52.80%,77%,9/16/2022
19-44,2021,47,Completed vaccine series,58.40%,52.90%,48.10%,73.10%,33.40%,60.70%,9/16/2022
18-Dec,2021,47,Completed vaccine series,47.50%,44.40%,44.60%,74.60%,21.80%,50.30%,9/16/2022
12+,2021,47,Completed vaccine series,67.40%,61.30%,54.70%,79.40%,35%,63.50%,9/16/2022
65+,2021,46,At least one vaccine dose,97.80%,100%,83.80%,100%,81.10%,90.20%,9/16/2022
11-May,2021,46,At least one vaccine dose,19.60%,5.70%,13%,19.70%,9.80%,9.40%,9/16/2022
5+,2021,46,At least one vaccine dose,65.90%,57.60%,53.30%,75.70%,30.90%,58.90%,9/16/2022
45-64,2021,46,At least one vaccine dose,67.30%,83.70%,64.70%,92%,54.50%,80.80%,9/16/2022
19-44,2021,46,At least one vaccine dose,61.20%,59.50%,54.30%,77.10%,35.70%,66.40%,9/16/2022
18-Dec,2021,46,At least one vaccine dose,51.40%,51.10%,51.70%,80.70%,24.20%,56.10%,9/16/2022
12+,2021,46,At least one vaccine dose,70%,67.30%,60%,83.40%,37.30%,68.70%,9/16/2022
65+,2021,46,Completed vaccine series,94.60%,100%,80.90%,100%,78.20%,85.80%,9/16/2022
11-May,2021,46,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,46,Completed vaccine series,61.70%,51.40%,46.70%,69.70%,26.70%,52.70%,9/16/2022
45-64,2021,46,Completed vaccine series,65.50%,78.80%,60.20%,89%,52.70%,76.80%,9/16/2022
19-44,2021,46,Completed vaccine series,58.20%,52.50%,47.90%,72.90%,33.30%,60.40%,9/16/2022
18-Dec,2021,46,Completed vaccine series,47.10%,44%,44.10%,74%,21.60%,49.90%,9/16/2022
12+,2021,46,Completed vaccine series,67.20%,61%,54.40%,79.20%,34.80%,63.20%,9/16/2022
65+,2021,45,At least one vaccine dose,97.60%,100%,83.50%,100%,80.90%,89.80%,9/16/2022
11-May,2021,45,At least one vaccine dose,12.50%,2.80%,8%,10.10%,5.90%,5.10%,9/16/2022
5+,2021,45,At least one vaccine dose,65%,56.70%,52.10%,74.20%,29.80%,57.80%,9/16/2022
45-64,2021,45,At least one vaccine dose,67.10%,83.30%,64.30%,91.70%,54.30%,80.60%,9/16/2022
19-44,2021,45,At least one vaccine dose,60.90%,58.90%,53.60%,76.80%,35.50%,66%,9/16/2022
18-Dec,2021,45,At least one vaccine dose,50.70%,50.30%,50.30%,79.60%,23.80%,55.40%,9/16/2022
12+,2021,45,At least one vaccine dose,69.70%,66.80%,59.40%,82.90%,37%,68.30%,9/16/2022
65+,2021,45,Completed vaccine series,94.50%,100%,80.80%,100%,78.10%,85.50%,9/16/2022
11-May,2021,45,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,45,Completed vaccine series,61.50%,51%,46.30%,69.50%,26.60%,52.40%,9/16/2022
45-64,2021,45,Completed vaccine series,65.30%,78.50%,59.90%,88.80%,52.50%,76.50%,9/16/2022
19-44,2021,45,Completed vaccine series,57.90%,52%,47.40%,72.60%,33.10%,60%,9/16/2022
18-Dec,2021,45,Completed vaccine series,46.80%,43.50%,43.60%,73.50%,21.40%,49.50%,9/16/2022
12+,2021,45,Completed vaccine series,67%,60.50%,54%,78.90%,34.70%,62.80%,9/16/2022
65+,2021,44,At least one vaccine dose,97.30%,100%,83.40%,100%,80.60%,89.40%,9/16/2022
11-May,2021,44,At least one vaccine dose,2.60%,0.40%,1.50%,1.30%,1.20%,0.80%,9/16/2022
5+,2021,44,At least one vaccine dose,63.90%,56%,50.80%,72.80%,28.40%,56.70%,9/16/2022
45-64,2021,44,At least one vaccine dose,67%,83%,64.10%,91.50%,54.20%,80.30%,9/16/2022
19-44,2021,44,At least one vaccine dose,60.60%,58.50%,53.20%,76.50%,35.30%,65.50%,9/16/2022
18-Dec,2021,44,At least one vaccine dose,49.70%,49.60%,49.10%,78.40%,23.10%,54.70%,9/16/2022
12+,2021,44,At least one vaccine dose,69.40%,66.30%,59%,82.50%,36.70%,67.80%,9/16/2022
65+,2021,44,Completed vaccine series,94.40%,100%,80.70%,100%,77.90%,85.30%,9/16/2022
11-May,2021,44,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,44,Completed vaccine series,61.30%,50.60%,46%,69.20%,26.50%,52.10%,9/16/2022
45-64,2021,44,Completed vaccine series,65.10%,78.10%,59.70%,88.60%,52.30%,76.20%,9/16/2022
19-44,2021,44,Completed vaccine series,57.70%,51.40%,47%,72.30%,32.90%,59.60%,9/16/2022
18-Dec,2021,44,Completed vaccine series,46.40%,42.90%,43%,72.90%,21.20%,49%,9/16/2022
12+,2021,44,Completed vaccine series,66.80%,60%,53.70%,78.60%,34.50%,62.40%,9/16/2022
65+,2021,43,At least one vaccine dose,97%,100%,83.20%,100%,80.40%,89.10%,9/16/2022
11-May,2021,43,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0%,9/16/2022
5+,2021,43,At least one vaccine dose,63.40%,55.50%,50.20%,72.40%,28%,56.30%,9/16/2022
45-64,2021,43,At least one vaccine dose,66.80%,82.70%,63.90%,91.30%,54%,80%,9/16/2022
19-44,2021,43,At least one vaccine dose,60.30%,58%,52.70%,76.20%,35.10%,65.20%,9/16/2022
18-Dec,2021,43,At least one vaccine dose,49.20%,49%,48.50%,77.80%,22.80%,54.20%,9/16/2022
12+,2021,43,At least one vaccine dose,69.10%,65.90%,58.60%,82.20%,36.50%,67.40%,9/16/2022
65+,2021,43,Completed vaccine series,94.20%,100%,80.60%,100%,77.70%,85.10%,9/16/2022
11-May,2021,43,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,43,Completed vaccine series,61.10%,50.20%,45.70%,68.90%,26.30%,51.70%,9/16/2022
45-64,2021,43,Completed vaccine series,64.90%,77.80%,59.40%,88.40%,52.20%,76%,9/16/2022
19-44,2021,43,Completed vaccine series,57.40%,50.90%,46.50%,72%,32.70%,59.10%,9/16/2022
18-Dec,2021,43,Completed vaccine series,46.20%,42.50%,42.50%,72.50%,21%,48.60%,9/16/2022
12+,2021,43,Completed vaccine series,66.60%,59.60%,53.30%,78.30%,34.30%,62%,9/16/2022
65+,2021,42,At least one vaccine dose,96.60%,100%,82.90%,100%,80%,88.60%,9/16/2022
11-May,2021,42,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0%,9/16/2022
5+,2021,42,At least one vaccine dose,63.20%,55.10%,49.80%,72.10%,27.80%,55.90%,9/16/2022
45-64,2021,42,At least one vaccine dose,66.60%,82.40%,63.50%,91%,53.90%,79.70%,9/16/2022
19-44,2021,42,At least one vaccine dose,60.10%,57.40%,52.10%,75.80%,34.90%,64.70%,9/16/2022
18-Dec,2021,42,At least one vaccine dose,48.90%,48.50%,48.10%,77.20%,22.60%,53.70%,9/16/2022
12+,2021,42,At least one vaccine dose,68.80%,65.40%,58.10%,81.90%,36.30%,67%,9/16/2022
65+,2021,42,Completed vaccine series,94.10%,100%,80.40%,100%,77.60%,84.90%,9/16/2022
45-64,2021,42,Completed vaccine series,64.80%,77.30%,59%,88.20%,52.10%,75.70%,9/16/2022
19-44,2021,42,Completed vaccine series,57.10%,50.20%,46%,71.60%,32.50%,58.60%,9/16/2022
18-Dec,2021,42,Completed vaccine series,45.90%,41.90%,42%,72%,20.90%,48.10%,9/16/2022
12+,2021,42,Completed vaccine series,66.30%,59%,52.80%,78%,34.10%,61.60%,9/16/2022
65+,2021,41,At least one vaccine dose,96.40%,100%,82.70%,100%,79.80%,88.40%,9/16/2022
11-May,2021,41,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0%,9/16/2022
5+,2021,41,At least one vaccine dose,63%,54.60%,49.50%,71.80%,27.70%,55.60%,9/16/2022
45-64,2021,41,At least one vaccine dose,66.40%,82%,63.30%,90.90%,53.70%,79.40%,9/16/2022
19-44,2021,41,At least one vaccine dose,59.80%,56.80%,51.70%,75.60%,34.70%,64.30%,9/16/2022
18-Dec,2021,41,At least one vaccine dose,48.50%,47.80%,47.50%,76.60%,22.40%,53.30%,9/16/2022
12+,2021,41,At least one vaccine dose,68.60%,64.80%,57.70%,81.60%,36.10%,66.60%,9/16/2022
65+,2021,41,Completed vaccine series,94%,100%,80.30%,100%,77.50%,84.70%,9/16/2022
11-May,2021,41,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,41,Completed vaccine series,60.70%,49.30%,45%,68.40%,26%,51%,9/16/2022
45-64,2021,41,Completed vaccine series,64.60%,76.90%,58.80%,88%,51.90%,75.40%,9/16/2022
19-44,2021,41,Completed vaccine series,56.80%,49.60%,45.50%,71.30%,32.30%,58.20%,9/16/2022
18-Dec,2021,41,Completed vaccine series,45.60%,41.30%,41.30%,71.40%,20.70%,47.50%,9/16/2022
12+,2021,41,Completed vaccine series,66.10%,58.40%,52.40%,77.60%,33.90%,61.20%,9/16/2022
65+,2021,40,At least one vaccine dose,96.20%,100%,82.50%,100%,79.50%,88%,9/16/2022
11-May,2021,40,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0%,9/16/2022
5+,2021,40,At least one vaccine dose,62.80%,54.20%,49.10%,71.60%,27.50%,55.20%,9/16/2022
45-64,2021,40,At least one vaccine dose,66.30%,81.60%,63.10%,90.60%,53.50%,79.10%,9/16/2022
19-44,2021,40,At least one vaccine dose,59.50%,56.10%,51.10%,75.20%,34.50%,63.80%,9/16/2022
18-Dec,2021,40,At least one vaccine dose,48.20%,47.30%,46.80%,76.20%,22.30%,52.80%,9/16/2022
12+,2021,40,At least one vaccine dose,68.40%,64.30%,57.30%,81.30%,35.90%,66.20%,9/16/2022
65+,2021,40,Completed vaccine series,93.90%,100%,80.20%,100%,77.50%,84.50%,9/16/2022
11-May,2021,40,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,40,Completed vaccine series,60.40%,48.80%,44.40%,68%,25.90%,50.60%,9/16/2022
45-64,2021,40,Completed vaccine series,64.40%,76.40%,58.40%,87.80%,51.70%,75.10%,9/16/2022
19-44,2021,40,Completed vaccine series,56.50%,48.90%,44.80%,70.90%,32.10%,57.60%,9/16/2022
18-Dec,2021,40,Completed vaccine series,45.20%,40.70%,40.30%,70.70%,20.50%,46.90%,9/16/2022
12+,2021,40,Completed vaccine series,65.90%,57.80%,51.80%,77.30%,33.70%,60.70%,9/16/2022
65+,2021,39,At least one vaccine dose,95.90%,100%,82.30%,100%,79.30%,87.80%,9/16/2022
11-May,2021,39,At least one vaccine dose,0.10%,0%,0%,0.10%,0%,0%,9/16/2022
5+,2021,39,At least one vaccine dose,62.50%,53.70%,48.70%,71.30%,27.40%,54.80%,9/16/2022
45-64,2021,39,At least one vaccine dose,66.10%,81.20%,62.70%,90.40%,53.30%,78.80%,9/16/2022
19-44,2021,39,At least one vaccine dose,59.20%,55.40%,50.60%,74.90%,34.30%,63.30%,9/16/2022
18-Dec,2021,39,At least one vaccine dose,48%,46.80%,46.30%,75.70%,22.10%,52.30%,9/16/2022
12+,2021,39,At least one vaccine dose,68.10%,63.70%,56.80%,81%,35.70%,65.70%,9/16/2022
65+,2021,39,Completed vaccine series,93.80%,100%,80%,100%,77.30%,84.30%,9/16/2022
11-May,2021,39,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,39,Completed vaccine series,60.20%,48.20%,43.80%,67.70%,25.70%,50.20%,9/16/2022
45-64,2021,39,Completed vaccine series,64.10%,75.90%,57.80%,87.60%,51.50%,74.80%,9/16/2022
19-44,2021,39,Completed vaccine series,56.10%,48.20%,44%,70.60%,31.80%,57%,9/16/2022
18-Dec,2021,39,Completed vaccine series,44.80%,40%,39.40%,70.10%,20.20%,46.30%,9/16/2022
12+,2021,39,Completed vaccine series,65.60%,57.20%,51.10%,76.90%,33.50%,60.20%,9/16/2022
65+,2021,38,At least one vaccine dose,95.50%,100%,82.10%,100%,78.90%,87.60%,9/16/2022
11-May,2021,38,At least one vaccine dose,0.10%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,38,At least one vaccine dose,62.30%,53.10%,48.20%,71%,27.20%,54.40%,9/16/2022
45-64,2021,38,At least one vaccine dose,65.90%,80.70%,62.20%,90.20%,53.10%,78.40%,9/16/2022
19-44,2021,38,At least one vaccine dose,58.90%,54.60%,49.90%,74.50%,34%,62.70%,9/16/2022
18-Dec,2021,38,At least one vaccine dose,47.60%,46.10%,45.70%,75.10%,21.90%,51.70%,9/16/2022
12+,2021,38,At least one vaccine dose,67.80%,63%,56.30%,80.60%,35.40%,65.20%,9/16/2022
65+,2021,38,Completed vaccine series,93.60%,100%,79.90%,100%,77.10%,84%,9/16/2022
11-May,2021,38,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,38,Completed vaccine series,59.90%,47.70%,43.40%,67.40%,25.50%,49.70%,9/16/2022
45-64,2021,38,Completed vaccine series,63.90%,75.30%,57.40%,87.40%,51.30%,74.40%,9/16/2022
19-44,2021,38,Completed vaccine series,55.70%,47.50%,43.40%,70.10%,31.50%,56.40%,9/16/2022
18-Dec,2021,38,Completed vaccine series,44.30%,39.20%,38.40%,69.20%,20%,45.60%,9/16/2022
12+,2021,38,Completed vaccine series,65.30%,56.60%,50.60%,76.50%,33.20%,59.60%,9/16/2022
65+,2021,37,At least one vaccine dose,95.40%,100%,81.90%,100%,78.80%,87.20%,9/16/2022
11-May,2021,37,At least one vaccine dose,0.10%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,37,At least one vaccine dose,62%,52.60%,47.60%,70.60%,27%,53.90%,9/16/2022
45-64,2021,37,At least one vaccine dose,65.70%,80.20%,61.80%,90%,53%,78.10%,9/16/2022
19-44,2021,37,At least one vaccine dose,58.60%,53.90%,49.10%,74.10%,33.80%,62%,9/16/2022
18-Dec,2021,37,At least one vaccine dose,47.30%,45.40%,44.50%,74.50%,21.70%,51.10%,9/16/2022
12+,2021,37,At least one vaccine dose,67.60%,62.40%,55.60%,80.20%,35.20%,64.60%,9/16/2022
65+,2021,37,Completed vaccine series,93.50%,100%,79.50%,100%,77%,83.80%,9/16/2022
11-May,2021,37,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,37,Completed vaccine series,59.60%,47%,42.80%,66.90%,25.30%,49.10%,9/16/2022
45-64,2021,37,Completed vaccine series,63.60%,74.80%,57%,87.10%,51%,73.90%,9/16/2022
19-44,2021,37,Completed vaccine series,55.30%,46.70%,42.60%,69.60%,31.30%,55.70%,9/16/2022
18-Dec,2021,37,Completed vaccine series,43.60%,37.90%,37%,67.90%,19.70%,44.30%,9/16/2022
12+,2021,37,Completed vaccine series,65%,55.80%,49.90%,76%,33%,58.90%,9/16/2022
65+,2021,36,At least one vaccine dose,95.20%,100%,81.80%,100%,78.70%,86.90%,9/16/2022
11-May,2021,36,At least one vaccine dose,0.10%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,36,At least one vaccine dose,61.70%,51.90%,47%,70.30%,26.80%,53.40%,9/16/2022
45-64,2021,36,At least one vaccine dose,65.40%,79.50%,61.20%,89.80%,52.80%,77.80%,9/16/2022
19-44,2021,36,At least one vaccine dose,58.10%,52.90%,48.10%,73.60%,33.50%,61.30%,9/16/2022
18-Dec,2021,36,At least one vaccine dose,46.90%,44.60%,43.30%,73.80%,21.40%,50.40%,9/16/2022
12+,2021,36,At least one vaccine dose,67.30%,61.60%,54.80%,79.80%,35%,64%,9/16/2022
65+,2021,36,Completed vaccine series,93.40%,100%,79.30%,100%,76.90%,83.60%,9/16/2022
11-May,2021,36,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,36,Completed vaccine series,59.20%,46.20%,42.10%,66.30%,25%,48.30%,9/16/2022
45-64,2021,36,Completed vaccine series,63.30%,74%,56.40%,86.70%,50.80%,73.40%,9/16/2022
19-44,2021,36,Completed vaccine series,54.70%,45.70%,41.80%,69%,30.90%,54.80%,9/16/2022
18-Dec,2021,36,Completed vaccine series,42.60%,36.40%,35.80%,66.30%,19.20%,42.80%,9/16/2022
12+,2021,36,Completed vaccine series,64.50%,54.80%,49.10%,75.30%,32.60%,58%,9/16/2022
65+,2021,35,At least one vaccine dose,95.10%,100%,81.60%,100%,78.60%,86.60%,9/16/2022
11-May,2021,35,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,35,At least one vaccine dose,61.50%,51.30%,46.40%,69.90%,26.60%,52.90%,9/16/2022
45-64,2021,35,At least one vaccine dose,65.20%,79%,60.80%,89.50%,52.60%,77.40%,9/16/2022
19-44,2021,35,At least one vaccine dose,57.70%,52.10%,47.40%,73.20%,33.20%,60.60%,9/16/2022
18-Dec,2021,35,At least one vaccine dose,46.40%,43.60%,42.10%,72.90%,21.20%,49.60%,9/16/2022
12+,2021,35,At least one vaccine dose,67%,60.80%,54.10%,79.40%,34.70%,63.40%,9/16/2022
65+,2021,35,Completed vaccine series,93.20%,100%,79.10%,100%,76.60%,83.20%,9/16/2022
11-May,2021,35,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,35,Completed vaccine series,58.80%,45.30%,41.40%,65.70%,24.70%,47.50%,9/16/2022
45-64,2021,35,Completed vaccine series,62.90%,73.30%,55.80%,86.30%,50.40%,72.70%,9/16/2022
19-44,2021,35,Completed vaccine series,54.10%,44.80%,41%,68.40%,30.50%,53.90%,9/16/2022
18-Dec,2021,35,Completed vaccine series,41.50%,34.60%,34.30%,64.60%,18.60%,41.10%,9/16/2022
12+,2021,35,Completed vaccine series,64%,53.80%,48.30%,74.60%,32.10%,57%,9/16/2022
65+,2021,34,At least one vaccine dose,95%,100%,81.30%,100%,78.40%,86.30%,9/16/2022
11-May,2021,34,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,34,At least one vaccine dose,61.10%,50.50%,45.70%,69.30%,26.30%,52.20%,9/16/2022
45-64,2021,34,At least one vaccine dose,64.90%,78.30%,60.30%,89.30%,52.30%,76.90%,9/16/2022
19-44,2021,34,At least one vaccine dose,57.20%,51.20%,46.60%,72.60%,32.80%,59.80%,9/16/2022
18-Dec,2021,34,At least one vaccine dose,45.40%,41.90%,40.30%,71.20%,20.70%,48%,9/16/2022
12+,2021,34,At least one vaccine dose,66.50%,59.90%,53.30%,78.70%,34.30%,62.60%,9/16/2022
65+,2021,34,Completed vaccine series,93%,99.90%,78.90%,100%,76.20%,82.80%,9/16/2022
11-May,2021,34,Completed vaccine series,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,34,Completed vaccine series,58.20%,44.40%,40.50%,65%,24.20%,46.50%,9/16/2022
45-64,2021,34,Completed vaccine series,62.40%,72.40%,55.10%,85.90%,49.90%,72%,9/16/2022
19-44,2021,34,Completed vaccine series,53.50%,43.80%,40%,67.70%,30.10%,52.80%,9/16/2022
18-Dec,2021,34,Completed vaccine series,39.70%,32.40%,31.50%,62.60%,17.80%,39%,9/16/2022
12+,2021,34,Completed vaccine series,63.40%,52.70%,47.30%,73.80%,31.60%,55.80%,9/16/2022
65+,2021,33,At least one vaccine dose,94.80%,100%,81%,100%,78.20%,86%,9/16/2022
11-May,2021,33,At least one vaccine dose,0%,0%,0%,0%,0%,0%,9/16/2022
5+,2021,33,At least one vaccine dose,60.70%,49.60%,45%,68.70%,26%,51.40%,9/16/2022
45-64,2021,33,At least one vaccine dose,64.50%,77.60%,59.70%,89%,52%,76.30%,9/16/2022
19-44,2021,33,At least one vaccine dose,56.60%,50.20%,45.60%,72%,32.40%,58.80%,9/16/2022
18-Dec,2021,33,At least one vaccine dose,44.50%,40.10%,38.90%,69.50%,20.20%,46.40%,9/16/2022
12+,2021,33,At least one vaccine dose,66.10%,58.80%,52.50%,78.10%,33.90%,61.60%,9/16/2022
